vendor_id,vendor_name,category,region,country,diversity_classification,is_preferred,is_strategic,risk_score,risk_tier,onboarded_date,vendor_tenure_years,lifetime_po_count,lifetime_spend,first_po_date,last_po_date,days_since_last_po,total_contracts,active_contracts,latest_contract_end_date,vendor_activity_status,has_active_contract
V00086,Moore-Haynes,Logistics,North America,Canada,,False,True,32,Low,2020-04-17,6,6,92385.58,2024-04-18,2025-01-03,621.0,2,0,2026-08-14,Dormant,False
V00087,Garrison and Sons,Raw Materials,Latin America,Brazil,,False,False,21,Low,2019-03-14,7,17,239333.79,2024-05-17,2025-12-18,272.0,1,0,2025-08-15,Dormant,False
V00088,Bailey-Hoover,Professional Services,Latin America,Chile,,False,False,30,Low,2023-03-24,3,3,130045.8,2024-11-07,2025-09-03,378.0,0,0,,Dormant,False
V00089,Johnson and Sons,IT Services,North America,Mexico,,False,False,40,Medium,2020-05-22,6,1,29041.25,2025-03-02,2025-03-02,563.0,0,0,,Dormant,False
V00090,Lin-Rasmussen,Logistics,North America,USA,Women-Owned,False,True,18,Low,2019-09-04,7,3,53231.62,2024-01-13,2025-05-24,480.0,1,0,2025-03-21,Dormant,False
V00091,"Hicks, Frazier and Anthony",IT Services,Europe,Netherlands,,False,False,23,Low,2019-12-27,7,8,491136.94,2024-08-27,2025-12-25,265.0,3,1,2027-01-27,Dormant,True
V00092,Wilson LLC,Logistics,Asia Pacific,India,,False,False,17,Low,2019-01-27,7,2,12073.82,2025-01-03,2025-10-09,342.0,0,0,,Dormant,False
V00093,Johnson-Carlson,MRO,Europe,France,,True,False,26,Low,2020-01-28,6,17,68546.51,2024-01-19,2025-10-13,338.0,3,0,2025-07-21,Dormant,False
V00094,Graham-Joyce,Logistics,Latin America,Chile,Women-Owned,False,False,23,Low,2018-09-11,8,11,149737.68,2024-01-15,2025-10-15,336.0,2,0,2025-07-16,Dormant,False
V00095,"Lee, Williams and Graham",Marketing,Europe,Germany,,False,False,32,Low,2021-02-12,5,13,101373.17,2024-05-05,2025-12-22,268.0,1,0,2025-03-22,Dormant,False
V00096,"Mcdaniel, Bentley and Mclaughlin",Marketing,North America,Canada,,False,True,44,Medium,2019-03-08,7,11,70752.48,2024-07-23,2025-12-25,265.0,1,0,2024-09-29,Dormant,False
V00097,Jones-Beck,Logistics,North America,Canada,Minority-Owned,True,False,38,Low,2019-12-25,7,7,141938.59,2024-02-06,2025-06-13,460.0,2,2,2027-05-08,Dormant,True
V00098,Alvarado-Martinez,Logistics,Latin America,Argentina,,False,False,9,Low,2023-05-26,3,11,123213.37,2024-01-21,2025-11-22,298.0,1,0,2024-08-13,Dormant,False
V00099,"Parker, Ortiz and Powell",Logistics,Latin America,Chile,,False,False,20,Low,2019-10-10,7,7,81638.06,2024-04-10,2025-10-20,331.0,2,0,2026-06-20,Dormant,False
V00100,Lee Ltd,Capital Equipment,North America,Canada,Women-Owned,False,False,16,Low,2023-08-22,3,2,126702.76,2024-07-31,2025-06-15,458.0,0,0,,Dormant,False
V00101,"Adkins, Thompson and Carroll",Logistics,Latin America,Chile,,False,False,22,Low,2020-06-08,6,6,136411.48,2024-02-13,2025-12-14,276.0,3,1,2026-10-18,Dormant,True
V00102,Torres and Sons,IT Services,Asia Pacific,Japan,,False,False,47,Medium,2020-07-30,6,7,149084.39,2024-08-07,2025-12-17,273.0,1,0,2026-08-07,Dormant,False
V00103,"Lawson, Morris and Ramos",Raw Materials,Europe,Germany,,False,False,11,Low,2022-01-19,4,0,0.0,,,,0,0,,Inactive,False
V00104,"Kennedy, Santana and Flynn",Professional Services,Latin America,Argentina,,False,True,17,Low,2019-01-07,7,18,390979.54,2024-01-09,2025-12-08,282.0,1,1,2027-04-27,Dormant,True
V00105,Campbell Ltd,Professional Services,Latin America,Argentina,,False,False,24,Low,2021-10-18,5,15,297759.08,2024-01-22,2025-11-06,314.0,1,0,2026-08-07,Dormant,False
V00106,Davis-Crane,Raw Materials,Asia Pacific,Singapore,Small Business,False,False,19,Low,2019-05-30,7,0,0.0,,,,0,0,,Inactive,False
V00107,Walker-Gonzalez,Raw Materials,Asia Pacific,Japan,,False,False,15,Low,2018-02-23,8,1,18982.65,2024-11-21,2024-11-21,664.0,0,0,,Dormant,False
V00108,Riggs PLC,MRO,Europe,UK,,False,False,30,Low,2023-02-04,3,16,68390.81,2024-01-20,2025-11-20,300.0,1,1,2027-06-22,Dormant,True
V00109,Gibson Ltd,Travel,Asia Pacific,China,Minority-Owned,False,False,26,Low,2021-06-14,5,16,53462.51,2024-01-13,2025-10-12,339.0,3,0,2025-12-13,Dormant,False
V00110,"Horton, Snyder and Sanchez",Professional Services,Europe,France,,True,False,17,Low,2021-12-07,5,16,567941.52,2024-01-01,2025-10-23,328.0,1,0,2026-08-12,Dormant,False
V00111,Stafford Inc,Facilities,Latin America,Brazil,Women-Owned,False,False,7,Low,2022-09-01,4,9,37286.61,2024-05-29,2025-12-28,262.0,3,1,2027-02-05,Dormant,True
V00112,Thompson Ltd,Raw Materials,Europe,Germany,,False,False,36,Low,2021-02-08,5,13,256184.62,2024-02-09,2025-12-19,271.0,2,0,2026-09-03,Dormant,False
V00113,Grant Inc,IT Services,Latin America,Brazil,,False,False,16,Low,2020-09-26,6,15,461311.55,2024-04-16,2025-12-19,271.0,1,0,2026-07-30,Dormant,False
V00114,Contreras-Travis,Marketing,Asia Pacific,China,Small Business,True,False,64,Medium,2021-07-28,5,14,42352.6,2024-02-26,2025-11-15,305.0,1,0,2025-06-18,Dormant,False
V00115,Salazar-Ball,Logistics,Europe,Italy,,False,False,50,Medium,2021-01-10,5,4,42288.85,2024-06-15,2025-10-26,325.0,2,1,2027-05-09,Dormant,True
V00116,"Griffin, Moore and Hensley",Raw Materials,Latin America,Chile,,True,False,40,Medium,2020-09-12,6,14,209369.43,2024-09-14,2025-10-20,331.0,2,0,2025-10-21,Dormant,False
V00117,Larsen LLC,IT Services,Europe,UK,,True,False,37,Low,2022-08-05,4,16,457116.0,2024-01-29,2025-12-04,286.0,2,0,2025-09-01,Dormant,False
V00118,"Washington, Allen and Gonzales",Raw Materials,Europe,Germany,,False,False,48,Medium,2022-04-12,4,12,247680.81,2024-04-20,2025-12-08,282.0,1,1,2027-02-12,Dormant,True
V00119,Nelson LLC,IT Services,Asia Pacific,Japan,,False,False,45,Medium,2023-05-10,3,10,237278.81,2024-06-13,2025-11-15,305.0,2,1,2027-11-30,Dormant,True
V00120,Taylor and Sons,Facilities,Europe,Netherlands,,False,False,31,Low,2020-04-18,6,12,134525.9,2024-05-18,2025-12-19,271.0,2,0,2025-03-02,Dormant,False
V00121,Mccarthy Inc,Professional Services,Europe,Germany,,False,False,34,Low,2020-06-27,6,16,393023.12,2024-01-11,2025-12-14,276.0,2,1,2027-05-13,Dormant,True
V00122,Daniels-Perry,Marketing,Asia Pacific,Singapore,,False,False,53,Medium,2019-03-29,7,1,1118.64,2024-01-25,2024-01-25,965.0,0,0,,Dormant,False
V00123,Price-Carrillo,Facilities,Latin America,Chile,,True,False,30,Low,2023-09-03,3,16,68660.22,2024-03-13,2025-12-01,289.0,2,0,2025-01-29,Dormant,False
V00124,Gates PLC,Professional Services,Asia Pacific,China,,False,False,14,Low,2020-04-13,6,9,363298.9,2024-02-11,2025-12-13,277.0,3,1,2027-06-05,Dormant,True
V00125,Bender LLC,Raw Materials,North America,Mexico,Minority-Owned,False,False,45,Medium,2022-07-09,4,16,172431.13,2024-01-06,2025-11-22,298.0,1,1,2027-03-05,Dormant,True
V00126,Medina-Navarro,IT Services,Latin America,Chile,,False,False,35,Low,2022-10-18,4,8,268308.06,2024-03-18,2025-12-13,277.0,1,0,2026-04-29,Dormant,False
V00127,Freeman LLC,Raw Materials,North America,Canada,,False,False,6,Low,2020-08-12,6,14,199194.89,2024-02-18,2025-12-10,280.0,3,2,2027-02-14,Dormant,True
V00128,Price Ltd,Capital Equipment,Asia Pacific,Singapore,,False,False,23,Low,2022-01-27,4,9,426324.9,2024-05-13,2025-11-10,310.0,2,1,2027-02-01,Dormant,True
V00129,Ramsey-Pittman,Marketing,North America,Canada,,False,False,19,Low,2023-07-07,3,0,0.0,,,,0,0,,Inactive,False
V00130,"Ferguson, Meadows and Vargas",MRO,North America,Mexico,Women-Owned,False,True,51,Medium,2021-12-22,5,11,77848.85,2024-02-16,2025-07-19,424.0,3,1,2028-03-30,Dormant,True
V00131,Day and Sons,Raw Materials,Latin America,Argentina,,True,False,22,Low,2023-03-14,3,0,0.0,,,,0,0,,Inactive,False
V00132,Williams Group,IT Services,Asia Pacific,Singapore,Women-Owned,False,True,13,Low,2019-12-18,7,4,230493.7,2024-10-19,2025-10-19,332.0,1,0,2024-11-23,Dormant,False
V00133,Murphy-Juarez,Logistics,Europe,UK,,True,False,47,Medium,2020-04-10,6,2,81352.84,2024-09-23,2025-11-07,313.0,2,2,2027-08-22,Dormant,True
V00134,King-Miller,Professional Services,North America,Canada,Women-Owned,False,False,15,Low,2018-02-12,8,19,630701.55,2024-02-27,2025-12-09,281.0,2,2,2027-04-08,Dormant,True
V00135,"Williams, Crane and Walker",Facilities,Asia Pacific,Australia,,False,False,5,Low,2018-05-31,8,1,697.08,2025-11-12,2025-11-12,308.0,0,0,,Dormant,False
V00136,"Williams, Johnson and Wright",Raw Materials,Latin America,Argentina,,False,False,34,Low,2023-01-12,3,5,110642.25,2024-11-20,2025-12-21,269.0,0,0,,Dormant,False
V00137,"Hernandez, Martinez and Caldwell",MRO,Europe,Germany,,False,False,30,Low,2021-05-20,5,9,106920.1,2024-09-05,2025-11-04,316.0,2,0,2026-02-13,Dormant,False
V00138,Marshall LLC,Facilities,Asia Pacific,China,,False,False,27,Low,2022-08-07,4,17,96666.07,2024-04-16,2025-10-28,323.0,2,0,2026-02-13,Dormant,False
V00139,Obrien Ltd,Office Supplies,Latin America,Brazil,,False,False,80,High,2022-04-23,4,2,5613.59,2025-04-11,2025-06-30,443.0,0,0,,Dormant,False
V00140,Oconnell Inc,MRO,Latin America,Chile,Women-Owned,False,False,40,Medium,2021-06-21,5,17,67841.46,2024-01-01,2025-12-17,273.0,1,0,2025-07-14,Dormant,False
V00141,Johnston-Odonnell,Professional Services,Latin America,Brazil,Minority-Owned,False,False,32,Low,2020-04-01,6,9,489659.54,2024-01-08,2025-11-07,313.0,2,0,2025-08-12,Dormant,False
V00142,"Gonzalez, Vargas and Rivas",Raw Materials,Latin America,Chile,Small Business,False,False,18,Low,2019-06-16,7,13,164330.51,2024-01-08,2025-12-07,283.0,2,1,2027-04-21,Dormant,True
V00143,"Barton, Jefferson and Burke",IT Services,North America,USA,,False,False,11,Low,2018-09-23,8,15,391732.92,2024-01-11,2025-10-08,343.0,2,1,2026-09-24,Dormant,True
V00144,"Patton, Reed and Patterson",Capital Equipment,Latin America,Brazil,,False,False,6,Low,2020-03-22,6,7,262400.5,2024-04-03,2025-11-07,313.0,2,1,2026-11-23,Dormant,True
V00145,"Holland, Smith and Fisher",Professional Services,Europe,Germany,,False,False,38,Low,2020-12-09,6,21,639511.75,2024-01-08,2025-11-26,294.0,1,0,2026-02-11,Dormant,False
V00146,Yu-Reid,Logistics,North America,Canada,Minority-Owned,False,False,22,Low,2022-12-20,4,7,71529.06,2024-05-16,2025-10-27,324.0,1,0,2025-12-26,Dormant,False
V00147,"Hernandez, Thompson and Boyd",Professional Services,Latin America,Argentina,,True,False,17,Low,2021-11-25,5,15,506772.7,2024-01-09,2025-12-26,264.0,1,0,2025-07-19,Dormant,False
V00148,"Morton, Medina and Webb",Facilities,Europe,Germany,,True,False,6,Low,2020-08-11,6,19,140133.53,2024-01-13,2025-12-09,281.0,1,1,2026-09-19,Dormant,True
V00149,"Vargas, Morris and Sanchez",Capital Equipment,Latin America,Brazil,,False,True,20,Low,2023-08-09,3,10,414540.22,2024-03-20,2025-09-21,360.0,1,0,2024-10-18,Dormant,False
V00150,Keith-Sanchez,Marketing,Asia Pacific,Japan,,True,False,35,Low,2020-10-14,6,1,3799.03,2024-11-18,2024-11-18,667.0,0,0,,Dormant,False
V00151,"Barnett, Rogers and Snyder",Raw Materials,Europe,UK,,False,False,31,Low,2019-12-13,7,10,151398.56,2024-04-18,2025-11-13,307.0,2,1,2028-04-15,Dormant,True
