vendor_id,vendor_name,vendor_region,vendor_country,vendor_is_preferred,vendor_is_strategic,vendor_diversity_classification,vendor_risk_tier,vendor_risk_score,po_count,total_spend,avg_po_amount,first_po_date,last_po_date,maverick_spend,maverick_po_count,spend_share_pct,spend_rank,spend_tier,cumulative_spend_share_pct
V00084,White LLC,Europe,France,True,False,,Low,11,17,400163.28,23539.01647059,2024-03-21,2025-12-22,0.0,0,0.00333397,74,Top 100,0.51771454
V00486,"Leach, Harris and Herrera",North America,USA,False,False,,Low,8,15,398376.76,26558.45066667,2024-02-23,2025-12-01,138757.37,5,0.00331909,75,Top 100,0.52103363
V00439,"Wiggins, Soto and Carlson",Asia Pacific,Japan,True,False,,Low,26,13,396697.94,30515.22615385,2024-05-17,2025-12-25,212825.19,8,0.0033051,76,Top 100,0.52433873
V00285,"Edwards, Garcia and Romero",Europe,France,False,False,Women-Owned,Low,29,9,395613.52,43957.05777778,2024-01-29,2025-12-04,99134.96,3,0.00329606,77,Top 100,0.52763479
V00391,Holmes-Mcintyre,North America,Canada,False,False,,Medium,42,12,394058.35,32838.19583333,2024-03-06,2025-10-31,77503.47,4,0.00328311,78,Top 100,0.5309179
V00415,Chavez-Barker,Latin America,Brazil,False,False,,Low,11,16,393674.32,24604.645,2024-01-25,2025-12-29,86271.02,1,0.00327991,79,Top 100,0.53419781
V00492,"Mcknight, Michael and Jones",Europe,UK,False,False,,Low,18,13,393388.62,30260.66307692,2024-05-21,2025-11-18,100906.37,3,0.00327753,80,Top 100,0.53747534
V00121,Mccarthy Inc,Europe,Germany,False,False,,Low,34,16,393023.12,24563.945,2024-01-11,2025-12-14,123228.91,5,0.00327448,81,Top 100,0.54074982
V00278,Gutierrez Group,Asia Pacific,China,False,False,,Medium,51,17,392757.75,23103.39705882,2024-03-30,2025-10-23,73066.01,4,0.00327227,82,Top 100,0.54402209
V00321,"Cruz, Carpenter and Best",Europe,Italy,False,False,,Medium,60,6,392384.64,65397.44,2024-01-01,2025-11-24,0.0,0,0.00326916,83,Top 100,0.54729125
V00143,"Barton, Jefferson and Burke",North America,USA,False,False,,Low,11,15,391732.92,26115.528,2024-01-11,2025-10-08,177179.12,5,0.00326373,84,Top 100,0.55055498
V00104,"Kennedy, Santana and Flynn",Latin America,Argentina,False,True,,Low,17,18,390979.54,21721.08555556,2024-01-09,2025-12-08,61707.44,6,0.00325746,85,Top 100,0.55381244
V00078,"Smith, Jones and Ware",Asia Pacific,Australia,False,False,,Medium,54,16,383763.03,23985.189375,2024-02-16,2025-11-08,99543.28,3,0.00319733,86,Top 100,0.55700977
V00179,"Heath, Jones and Hall",Europe,Germany,True,True,,Low,22,15,383705.85,25580.39,2024-03-09,2025-10-29,53900.26,1,0.00319685,87,Top 100,0.56020662
V00219,"Johnson, Jones and Welch",Europe,France,False,False,,Low,17,10,381482.23,38148.223,2024-01-06,2025-11-20,238274.71,8,0.00317833,88,Top 100,0.56338495
V00333,"Fletcher, Miller and Hansen",Latin America,Brazil,False,False,,Low,18,13,379842.18,29218.62923077,2024-01-07,2025-11-02,20525.56,2,0.00316466,89,Top 100,0.56654961
V00046,Davis Group,Asia Pacific,Japan,False,False,,Low,31,5,370363.58,74072.716,2024-07-11,2025-12-04,306011.55,4,0.00308569,90,Top 100,0.5696353
V00172,Obrien-Gibbs,Latin America,Argentina,False,True,,Low,32,14,367971.1,26283.65,2024-01-03,2025-11-21,217339.0,8,0.00306576,91,Top 100,0.57270106
V00124,Gates PLC,Asia Pacific,China,False,False,,Low,14,9,363298.9,40366.54444444,2024-02-11,2025-12-13,15296.81,1,0.00302683,92,Top 100,0.57572789
V00008,Davis Inc,Europe,France,False,False,Small Business,Low,17,12,363232.08,30269.34,2024-02-22,2025-12-30,10270.06,2,0.00302628,93,Top 100,0.57875417
V00228,Huerta-Evans,Europe,France,False,False,Women-Owned,Low,7,9,356872.97,39652.55222222,2024-05-29,2025-10-23,16750.94,1,0.0029733,94,Top 100,0.58172747
V00398,Conner and Sons,Latin America,Argentina,False,False,,Low,36,10,356153.07,35615.307,2024-01-16,2025-11-02,42019.08,4,0.0029673,95,Top 100,0.58469477
V00027,"Valencia, Smith and Le",Latin America,Brazil,True,True,,Low,36,6,355029.77,59171.62833333,2024-04-20,2025-11-09,5494.87,1,0.00295794,96,Top 100,0.58765271
V00043,"Brown, Jones and Johnson",Asia Pacific,India,True,False,,Medium,54,11,353697.52,32154.32,2024-03-14,2025-11-11,137413.68,2,0.00294684,97,Top 100,0.59059955
V00193,Gibson LLC,North America,Canada,False,False,,Low,13,8,352690.67,44086.33375,2024-04-15,2025-12-06,212512.2,2,0.00293845,98,Top 100,0.593538
V00267,Tyler-Young,Latin America,Brazil,False,False,Small Business,Low,19,15,352387.63,23492.50866667,2024-06-06,2025-12-23,71771.82,3,0.00293593,99,Top 100,0.59647393
V00034,Koch-Decker,North America,Canada,False,True,Minority-Owned,Low,4,17,352359.29,20727.01705882,2024-03-31,2025-10-22,92444.63,2,0.00293569,100,Top 100,0.59940962
V00363,Smith-Gomez,Asia Pacific,Japan,False,False,,Low,16,12,352014.13,29334.51083333,2024-03-06,2025-11-09,62908.88,2,0.00293281,101,Tail,0.60234243
V00031,Harrell LLC,Latin America,Chile,False,False,,Low,10,9,351343.51,39038.16777778,2024-05-19,2025-11-16,58937.11,4,0.00292723,102,Tail,0.60526966
V00068,Ibarra-Suarez,Europe,Netherlands,False,False,Minority-Owned,High,80,15,348351.33,23223.422,2024-04-02,2025-12-16,348351.33,15,0.0029023,103,Tail,0.60817196
V00012,Stanley LLC,North America,Canada,True,False,,Low,8,12,344131.04,28677.58666667,2024-03-18,2025-11-12,50457.81,3,0.00286714,104,Tail,0.6110391
V00468,"Daniels, Snyder and Mays",Asia Pacific,China,False,False,,High,76,18,343411.54,19078.41888889,2024-01-05,2025-12-29,73087.57,4,0.00286114,105,Tail,0.61390024
V00156,Mcguire-Davis,Asia Pacific,Australia,False,True,,Medium,57,8,343153.01,42894.12625,2024-01-22,2025-09-10,66486.66,2,0.00285899,106,Tail,0.61675923
V00422,"Griffith, Lee and Moore",Latin America,Chile,False,False,,Low,11,18,340521.18,18917.84333333,2024-01-12,2025-12-04,23976.18,1,0.00283706,107,Tail,0.61959629
V00429,Cox LLC,Asia Pacific,Australia,False,False,,Low,24,11,338212.91,30746.62818182,2024-02-10,2025-12-28,107497.39,3,0.00281783,108,Tail,0.62241412
V00399,Ward PLC,Latin America,Argentina,False,False,,Medium,50,14,332407.36,23743.38285714,2024-01-23,2025-11-23,95734.33,3,0.00276946,109,Tail,0.62518358
V00159,"Chavez, Parker and Hall",Europe,Italy,False,False,,Low,22,11,330824.24,30074.93090909,2024-04-27,2025-11-17,10999.49,1,0.00275627,110,Tail,0.62793985
V00004,"Johnson, Gonzalez and Santos",Asia Pacific,China,False,False,,Low,15,12,324289.02,27024.085,2024-02-14,2025-12-24,42943.15,2,0.00270182,111,Tail,0.63064167
V00480,Mendez-Robinson,Europe,Netherlands,True,False,,Low,25,12,322528.85,26877.40416667,2024-02-02,2025-12-25,249366.95,10,0.00268716,112,Tail,0.63332883
V00397,"Little, Leon and Hicks",Europe,Italy,False,False,Small Business,Low,9,14,318758.54,22768.46714286,2024-06-15,2025-12-04,101892.11,4,0.00265574,113,Tail,0.63598457
V00463,"Jefferson, Johnson and Dorsey",North America,Canada,False,True,,Low,29,11,310076.77,28188.79727273,2024-06-01,2025-10-30,222472.73,8,0.00258341,114,Tail,0.63856798
V00249,"Murphy, Bishop and Holland",North America,Canada,False,False,Minority-Owned,High,82,12,299809.28,24984.10666667,2024-02-24,2025-11-18,16942.7,1,0.00249787,115,Tail,0.64106585
V00105,Campbell Ltd,Latin America,Argentina,False,False,,Low,24,15,297759.08,19850.60533333,2024-01-22,2025-11-06,67393.55,5,0.00248079,116,Tail,0.64354664
V00165,Tran Ltd,Latin America,Argentina,False,True,,High,75,13,297634.65,22894.97307692,2024-05-01,2025-12-18,38956.25,2,0.00247975,117,Tail,0.64602639
V00183,"Morse, Gonzales and Harrison",Asia Pacific,Singapore,True,False,,Low,18,9,294162.83,32684.75888889,2024-04-09,2025-10-17,156833.47,7,0.00245082,118,Tail,0.64847721
V00006,Blake and Sons,Asia Pacific,China,False,False,,Low,11,14,293953.84,20996.70285714,2024-02-24,2025-12-27,42922.87,4,0.00244908,119,Tail,0.65092629
V00233,Lozano Ltd,Asia Pacific,Singapore,False,False,,Medium,45,17,291783.25,17163.72058824,2024-04-14,2025-11-27,0.0,0,0.002431,120,Tail,0.65335729
V00042,Chapman Inc,North America,Canada,False,False,,Low,17,12,287942.74,23995.22833333,2024-02-14,2025-12-31,233808.9,9,0.002399,121,Tail,0.65575629
V00296,"Williams, Miller and Ramos",Asia Pacific,India,False,False,,Low,32,4,287769.11,71942.2775,2024-04-09,2025-09-17,287769.11,4,0.00239756,122,Tail,0.65815385
V00337,Lee-Cooke,North America,USA,False,False,Small Business,Low,20,17,277755.99,16338.58764706,2024-01-02,2025-12-28,102994.35,4,0.00231413,123,Tail,0.66046798
V00005,Cole LLC,Europe,France,False,False,,Medium,55,9,275312.26,30590.25111111,2024-02-28,2025-11-20,248740.12,7,0.00229377,124,Tail,0.66276175
V00192,"Simpson, Bates and Morales",North America,Canada,False,False,,Low,31,2,274924.08,137462.04,2025-01-17,2025-08-01,274924.08,2,0.00229054,125,Tail,0.66505229
V00499,Good Group,Latin America,Brazil,False,False,,Low,23,12,274188.15,22849.0125,2024-03-08,2025-12-17,9485.41,1,0.00228441,126,Tail,0.6673367
V00359,"Rose, Rodriguez and Roberts",Asia Pacific,Japan,False,False,,Low,11,12,274014.97,22834.58083333,2024-06-25,2025-12-13,0.0,0,0.00228296,127,Tail,0.66961966
V00290,"Adams, White and Park",Asia Pacific,Singapore,False,False,,High,83,13,273132.35,21010.18076923,2024-04-15,2025-12-27,5129.87,1,0.00227561,128,Tail,0.67189527
V00164,Erickson and Sons,Asia Pacific,China,True,False,,Low,36,11,272561.74,24778.34,2024-01-02,2025-11-15,141263.64,6,0.00227085,129,Tail,0.67416612
V00322,Cole PLC,Latin America,Argentina,False,False,,Low,31,15,271727.12,18115.14133333,2024-03-18,2025-12-10,7194.62,1,0.0022639,130,Tail,0.67643002
V00343,"Mitchell, Goodman and Cole",Europe,Germany,False,False,,Medium,42,10,268503.3,26850.33,2024-02-13,2025-12-14,16293.83,2,0.00223704,131,Tail,0.67866706
V00126,Medina-Navarro,Latin America,Chile,False,False,,Low,35,8,268308.06,33538.5075,2024-03-18,2025-12-13,0.0,0,0.00223541,132,Tail,0.68090247
V00311,"Wilson, Hicks and Bullock",Asia Pacific,China,False,False,,Low,24,14,265715.93,18979.70928571,2024-04-26,2025-12-26,58131.34,3,0.00221382,133,Tail,0.68311629
V00144,"Patton, Reed and Patterson",Latin America,Brazil,False,False,,Low,6,7,262400.5,37485.78571429,2024-04-03,2025-11-07,17604.45,1,0.0021862,134,Tail,0.68530249
V00411,Miller Ltd,Europe,France,False,False,,Low,10,14,260439.09,18602.79214286,2024-04-03,2025-12-07,41322.77,2,0.00216985,135,Tail,0.68747234
V00355,"Santos, Moody and Taylor",Europe,Italy,False,False,,Low,18,10,258883.13,25888.313,2024-01-08,2025-10-04,85837.69,4,0.00215689,136,Tail,0.68962923
V00454,Williams-Moses,Europe,Netherlands,True,False,,Low,14,13,257960.86,19843.14307692,2024-06-19,2025-12-15,40916.98,2,0.00214921,137,Tail,0.69177844
V00231,Haney-Phillips,Europe,UK,False,False,Minority-Owned,Low,22,9,256664.82,28518.31333333,2024-08-15,2025-12-02,196828.59,6,0.00213841,138,Tail,0.69391685
V00112,Thompson Ltd,Europe,Germany,False,False,,Low,36,13,256184.62,19706.50923077,2024-02-09,2025-12-19,15971.46,2,0.00213441,139,Tail,0.69605126
V00187,"Matthews, Smith and Hubbard",North America,Mexico,False,False,,Low,39,12,256082.36,21340.19666667,2024-02-17,2025-12-27,44417.65,2,0.00213356,140,Tail,0.69818482
V00423,Jimenez-Parker,North America,Mexico,False,False,,Medium,52,12,255552.17,21296.01416667,2024-02-14,2025-11-13,47533.07,2,0.00212914,141,Tail,0.70031396
V00389,Moreno Group,Europe,Italy,False,False,,Low,18,13,254499.54,19576.88769231,2024-01-11,2025-11-13,16941.71,2,0.00212037,142,Tail,0.70243433
V00238,"Anderson, Browning and Murphy",Latin America,Brazil,False,False,Women-Owned,Low,22,9,253314.29,28146.03222222,2024-04-17,2025-11-17,171743.54,4,0.00211049,143,Tail,0.70454482
V00500,"Coleman, Gray and Hall",North America,Canada,False,False,Minority-Owned,Medium,60,4,252917.73,63229.4325,2024-11-26,2025-12-01,252917.73,4,0.00210719,144,Tail,0.70665201
V00057,"Higgins, Moore and Phillips",Europe,France,False,False,,Low,17,13,250983.85,19306.45,2024-01-17,2025-12-28,0.0,0,0.00209108,145,Tail,0.70874309
V00221,"Padilla, Garcia and Jackson",Latin America,Argentina,False,False,,Low,14,14,250426.2,17887.58571429,2024-03-13,2025-11-30,9676.33,2,0.00208643,146,Tail,0.71082952
V00496,Vega Ltd,Latin America,Chile,False,False,,Low,22,10,248978.94,24897.894,2024-03-22,2025-12-03,132327.74,3,0.00207437,147,Tail,0.71290389
V00473,"Davis, Holden and Woods",North America,Mexico,True,False,,Low,30,11,248549.27,22595.38818182,2024-08-12,2025-12-25,17640.93,1,0.00207079,148,Tail,0.71497468
V00118,"Washington, Allen and Gonzales",Europe,Germany,False,False,,Medium,48,12,247680.81,20640.0675,2024-04-20,2025-12-08,14272.81,2,0.00206356,149,Tail,0.71703824
V00348,Salas Inc,Europe,Italy,False,True,,Low,32,12,246539.91,20544.9925,2024-03-17,2025-11-21,14991.8,1,0.00205405,150,Tail,0.71909229
V00451,Stewart-Bailey,North America,USA,False,False,,Low,33,9,246044.21,27338.24555556,2024-02-09,2025-12-01,2348.9,1,0.00204992,151,Tail,0.72114221
V00450,Wise-Bush,Europe,UK,False,False,Women-Owned,Low,9,17,243829.3,14342.9,2024-02-07,2025-11-03,35028.1,1,0.00203147,152,Tail,0.72317368
V00074,"Walters, Baker and Freeman",North America,Canada,False,False,,Low,26,8,242557.01,30319.62625,2024-05-02,2025-12-14,123243.35,3,0.00202087,153,Tail,0.72519455
V00045,"Johnston, Sanchez and Kennedy",Europe,Italy,False,False,,Low,23,12,242397.29,20199.77416667,2024-05-08,2025-12-19,9073.52,1,0.00201954,154,Tail,0.72721409
