month,category,po_count,avg_req_to_po_cycle_days,avg_delivery_slip_days,on_time_delivery_rate,invoice_count,avg_days_payable_outstanding,three_way_match_rate,on_time_payment_rate
2024-03-01,Facilities,10,7.5,4.0,0.3,8,30.0,0.5,0.875
2024-08-01,IT Services,38,8.105263,1.421053,0.473684,27,40.925926,0.740741,0.481481
2025-02-01,Professional Services,26,7.884615,1.884615,0.384615,15,37.8,0.933333,0.333333
2025-12-01,Capital Equipment,16,8.1875,2.375,0.4375,10,,1.0,0.0
2025-07-01,IT Services,41,6.536585,2.121951,0.341463,24,39.208333,0.75,0.5
2024-03-01,Office Supplies,8,6.75,2.875,0.5,5,59.2,1.0,0.2
2024-03-01,Capital Equipment,7,7.0,1.571429,0.571429,5,44.6,0.4,0.6
2024-06-01,Office Supplies,2,13.0,4.5,0.0,1,61.0,1.0,0.0
2025-05-01,Raw Materials,46,6.978261,3.108696,0.282609,28,39.571429,0.714286,0.392857
2025-03-01,Logistics,30,6.133333,1.933333,0.433333,22,42.181818,0.818182,0.545455
2025-02-01,Marketing,11,7.181818,2.181818,0.545455,8,39.5,0.875,0.25
2025-07-01,Facilities,13,8.384615,1.692308,0.538462,8,28.875,0.625,0.375
2025-08-01,IT Services,43,7.581395,2.534884,0.348837,34,37.970588,0.735294,0.558824
2024-08-01,Facilities,6,7.166667,3.5,0.333333,3,35.0,0.333333,0.666667
2024-08-01,MRO,9,6.888889,0.555556,0.555556,7,35.857143,0.714286,1.0
2024-05-01,Capital Equipment,10,6.4,3.6,0.4,7,38.285714,0.714286,0.571429
2025-09-01,Marketing,14,7.714286,3.142857,0.428571,10,42.4,1.0,0.4
2025-10-01,Raw Materials,61,7.918033,2.04918,0.360656,35,36.645161,0.828571,0.580645
2024-12-01,IT Services,55,6.509091,1.290909,0.436364,39,40.769231,0.666667,0.461538
2024-08-01,Capital Equipment,15,5.8,1.666667,0.466667,11,34.818182,0.818182,0.545455
2025-06-01,Capital Equipment,19,6.842105,0.315789,0.421053,11,32.636364,0.909091,0.545455
2024-12-01,Facilities,13,6.692308,1.615385,0.384615,8,40.25,0.625,0.625
2024-12-01,MRO,24,5.958333,1.583333,0.5,14,33.5,0.785714,0.571429
2024-06-01,Marketing,15,8.8,1.333333,0.6,10,33.6,0.9,0.4
2024-10-01,Capital Equipment,16,8.1875,2.5625,0.25,11,36.090909,0.909091,0.727273
2025-11-01,Office Supplies,12,7.5,1.5,0.416667,4,17.0,1.0,0.5
2024-05-01,Professional Services,34,7.029412,1.764706,0.382353,24,37.958333,0.666667,0.5
2024-01-01,MRO,18,7.5,1.666667,0.333333,9,37.222222,0.555556,0.555556
2025-08-01,Marketing,16,7.1875,0.125,0.5625,10,38.9,0.7,0.6
2024-05-01,Marketing,19,6.526316,0.421053,0.631579,14,38.214286,0.642857,0.285714
2024-06-01,Logistics,30,7.566667,1.933333,0.466667,19,40.473684,0.842105,0.368421
2024-02-01,MRO,11,8.454545,2.090909,0.454545,7,39.571429,0.714286,0.571429
2024-01-01,Logistics,15,7.733333,0.533333,0.466667,8,34.25,0.625,0.75
2024-05-01,Logistics,16,7.625,3.375,0.3125,10,37.5,0.7,0.4
2024-07-01,Marketing,14,7.142857,2.928571,0.571429,11,42.818182,0.818182,0.272727
2024-09-01,Office Supplies,6,6.833333,-1.166667,0.833333,2,49.5,1.0,1.0
2025-07-01,Travel,4,7.0,1.5,0.5,2,50.5,1.0,0.0
2025-12-01,Facilities,21,8.47619,1.571429,0.428571,14,13.0,0.857143,0.5
2024-01-01,Capital Equipment,8,8.75,3.25,0.375,4,36.25,1.0,1.0
2024-04-01,Office Supplies,5,9.6,0.6,0.4,2,20.0,1.0,0.5
2024-02-01,Travel,2,12.0,0.0,1.0,1,16.0,1.0,0.0
2024-06-01,Travel,9,8.777778,2.777778,0.333333,4,28.75,0.5,0.75
2024-10-01,Logistics,26,7.884615,1.076923,0.615385,15,40.066667,0.933333,0.6
2025-08-01,Raw Materials,48,7.5,3.25,0.270833,37,32.972973,0.864865,0.567568
2025-03-01,IT Services,53,7.698113,1.735849,0.377358,34,33.823529,0.764706,0.411765
2025-10-01,IT Services,75,7.573333,2.333333,0.386667,49,33.045455,0.836735,0.545455
2025-11-01,Raw Materials,54,7.0,1.777778,0.388889,32,17.636364,0.875,0.545455
2025-10-01,MRO,31,7.870968,1.516129,0.483871,21,34.235294,0.904762,0.529412
2024-10-01,Professional Services,49,7.0,1.408163,0.489796,25,42.92,0.84,0.52
2025-07-01,Professional Services,35,6.4,1.085714,0.514286,24,33.708333,0.625,0.708333
2024-02-01,IT Services,29,8.275862,1.827586,0.413793,23,38.347826,0.782609,0.73913
2024-07-01,Professional Services,39,6.923077,1.641026,0.384615,28,43.714286,0.892857,0.5
2024-06-01,Raw Materials,41,6.902439,2.146341,0.365854,29,39.931034,0.931034,0.413793
2024-08-01,Raw Materials,37,7.432432,1.108108,0.594595,25,37.56,0.8,0.28
2024-09-01,Professional Services,39,7.358974,1.307692,0.512821,31,42.806452,0.774194,0.483871
2025-02-01,Logistics,18,7.555556,0.0,0.555556,13,34.0,0.846154,0.615385
2025-04-01,Office Supplies,10,9.1,2.7,0.3,6,34.166667,0.833333,0.5
2025-09-01,Capital Equipment,20,7.4,0.5,0.55,14,41.0,0.785714,0.357143
2025-11-01,Facilities,15,5.533333,1.0,0.6,9,28.0,0.555556,0.25
2024-07-01,Facilities,11,8.909091,4.636364,0.090909,10,42.2,0.8,0.5
2025-07-01,Logistics,15,7.8,1.733333,0.4,11,46.181818,0.727273,0.363636
2024-10-01,Facilities,15,8.4,1.0,0.4,9,33.111111,0.555556,0.555556
2024-11-01,Marketing,14,8.142857,2.357143,0.285714,12,27.75,1.0,0.75
2024-01-01,Professional Services,41,7.292683,2.341463,0.390244,23,35.26087,0.782609,0.521739
2025-05-01,Facilities,13,6.923077,1.846154,0.461538,7,42.857143,0.714286,0.571429
2024-12-01,Raw Materials,44,7.318182,0.977273,0.568182,25,30.28,0.84,0.64
2025-03-01,Raw Materials,46,6.891304,1.173913,0.521739,28,33.0,0.857143,0.571429
2025-10-01,Capital Equipment,19,8.0,1.105263,0.368421,9,26.222222,0.777778,0.888889
2025-04-01,MRO,17,6.882353,1.470588,0.352941,10,33.4,0.8,0.6
2025-11-01,MRO,22,6.272727,3.136364,0.318182,18,16.888889,0.944444,0.777778
2024-12-01,Capital Equipment,25,7.04,0.68,0.52,15,38.0,0.8,0.6
2025-04-01,Logistics,27,6.703704,1.962963,0.37037,15,31.866667,0.666667,0.6
2024-01-01,Marketing,8,6.25,1.5,0.25,4,51.0,0.75,0.5
2025-01-01,Office Supplies,7,4.285714,3.142857,0.142857,4,24.5,0.75,0.5
2024-05-01,Travel,5,10.6,1.2,0.6,2,46.0,0.5,0.5
2025-05-01,MRO,16,5.375,1.4375,0.4375,9,37.333333,0.666667,0.555556
2024-11-01,Office Supplies,6,7.666667,2.0,0.333333,1,53.0,1.0,0.0
2024-04-01,Facilities,7,6.0,0.571429,0.428571,5,40.2,0.8,0.4
2024-05-01,Facilities,11,5.454545,1.181818,0.545455,6,42.5,0.666667,0.0
2025-04-01,Capital Equipment,16,6.5625,-0.25,0.75,14,41.0,0.857143,0.428571
2024-05-01,Raw Materials,27,7.555556,1.814815,0.444444,18,39.0,0.722222,0.444444
2024-05-01,IT Services,36,6.527778,0.861111,0.444444,19,32.157895,0.842105,0.526316
2024-11-01,Raw Materials,43,6.372093,2.837209,0.27907,26,42.153846,0.884615,0.423077
2025-01-01,Capital Equipment,16,8.25,2.125,0.4375,11,31.727273,0.727273,0.636364
2025-04-01,IT Services,54,7.314815,1.092593,0.481481,32,36.0625,0.78125,0.65625
2025-03-01,Office Supplies,6,8.833333,1.5,0.333333,4,27.25,0.25,0.5
2025-12-01,Office Supplies,10,6.7,1.3,0.4,5,5.0,1.0,1.0
2025-11-01,IT Services,63,7.460317,0.68254,0.47619,42,19.909091,0.809524,0.545455
2025-09-01,IT Services,66,7.727273,2.045455,0.348485,39,34.0,0.769231,0.657895
2025-07-01,Capital Equipment,14,6.142857,0.285714,0.571429,7,30.142857,0.857143,0.571429
2025-07-01,Raw Materials,35,7.971429,1.885714,0.371429,23,36.304348,0.782609,0.652174
2025-01-01,Marketing,16,7.875,3.125,0.3125,10,46.3,0.8,0.6
2025-02-01,Capital Equipment,6,7.666667,1.0,0.5,3,45.333333,1.0,0.333333
2024-10-01,Marketing,22,7.5,2.590909,0.318182,12,39.916667,0.916667,0.666667
2024-08-01,Marketing,8,7.375,1.125,0.5,4,34.75,0.5,0.5
2025-09-01,Logistics,25,6.84,1.88,0.4,11,33.545455,0.818182,0.636364
2025-04-01,Travel,5,9.6,-1.0,0.8,3,32.666667,0.666667,1.0
2024-11-01,Travel,5,7.4,4.4,0.2,4,47.0,0.75,0.5
2025-07-01,Marketing,13,7.538462,1.307692,0.307692,7,29.857143,0.714286,0.142857
2024-11-01,Logistics,34,7.264706,1.529412,0.441176,22,37.045455,0.863636,0.454545
2025-01-01,MRO,16,7.375,1.9375,0.4375,11,36.272727,0.818182,0.545455
2025-11-01,Logistics,20,7.9,2.25,0.35,13,20.666667,1.0,0.666667
2024-06-01,MRO,13,5.692308,2.461538,0.230769,11,40.0,0.909091,0.181818
2025-09-01,Travel,6,10.666667,1.666667,0.5,5,30.0,1.0,0.4
2025-11-01,Travel,6,8.166667,4.5,0.333333,5,17.666667,0.8,0.333333
2024-09-01,Marketing,16,6.8125,0.5625,0.5625,12,39.0,0.5,0.333333
2025-02-01,MRO,9,8.111111,1.888889,0.333333,7,31.0,0.714286,0.428571
2025-10-01,Travel,7,8.857143,1.285714,0.714286,4,30.5,1.0,0.25
2025-07-01,Office Supplies,4,3.75,1.25,0.5,3,31.333333,0.333333,0.333333
2025-02-01,Travel,5,5.6,2.6,0.2,3,47.333333,1.0,0.333333
2025-05-01,IT Services,44,7.295455,1.545455,0.431818,25,36.68,0.92,0.56
2025-05-01,Professional Services,51,7.431373,2.058824,0.352941,30,33.433333,0.733333,0.6
2025-06-01,Logistics,20,6.8,2.15,0.25,16,33.625,0.75,0.625
2024-03-01,Professional Services,37,6.567568,2.594595,0.324324,21,36.857143,0.809524,0.666667
2024-08-01,Logistics,13,8.692308,1.384615,0.538462,10,36.2,0.5,0.7
2025-08-01,Logistics,27,6.518519,1.555556,0.37037,20,37.85,0.95,0.65
2024-12-01,Marketing,31,6.903226,1.16129,0.483871,23,35.913043,0.782609,0.565217
2024-12-01,Travel,5,9.8,2.0,0.4,4,31.25,1.0,0.25
2024-03-01,Raw Materials,25,8.0,2.36,0.32,16,38.9375,0.6875,0.6875
2025-05-01,Logistics,24,7.166667,1.541667,0.375,12,36.166667,0.833333,0.666667
2025-03-01,Professional Services,53,8.169811,1.754717,0.490566,36,40.277778,0.833333,0.361111
2024-11-01,Professional Services,51,7.666667,2.686275,0.372549,34,34.235294,0.852941,0.470588
2024-03-01,MRO,24,8.666667,0.708333,0.666667,15,29.733333,0.733333,0.533333
2025-03-01,Facilities,16,6.0,3.0,0.375,13,32.615385,0.692308,0.615385
2025-08-01,Professional Services,43,8.44186,1.813953,0.395349,30,36.866667,0.733333,0.666667
2025-06-01,Raw Materials,51,6.980392,0.823529,0.470588,35,40.142857,0.742857,0.542857
2025-11-01,Capital Equipment,17,6.235294,3.470588,0.352941,10,13.5,0.7,1.0
2025-05-01,Marketing,18,7.444444,1.555556,0.277778,9,37.777778,0.666667,0.666667
2025-03-01,MRO,17,6.647059,1.058824,0.529412,5,28.8,0.6,0.2
2025-04-01,Marketing,17,6.764706,2.705882,0.294118,12,34.083333,0.75,0.5
2024-04-01,Travel,3,6.0,-0.333333,0.666667,1,54.0,1.0,0.0
2024-04-01,Capital Equipment,15,6.6,1.8,0.266667,9,40.333333,1.0,0.222222
2024-07-01,Capital Equipment,13,6.769231,2.384615,0.230769,8,38.125,0.875,0.125
2024-10-01,MRO,18,6.833333,2.222222,0.388889,12,41.333333,0.666667,0.583333
2025-03-01,Travel,7,7.142857,2.285714,0.285714,4,59.75,0.75,0.25
2024-11-01,Facilities,7,10.0,4.0,0.142857,3,44.0,1.0,0.333333
2025-06-01,IT Services,55,8.054545,2.163636,0.4,42,34.952381,0.880952,0.52381
2024-06-01,IT Services,43,7.976744,1.27907,0.488372,24,31.208333,0.875,0.541667
2025-10-01,Professional Services,73,7.410959,1.931507,0.356164,51,31.380952,0.784314,0.642857
2024-11-01,Capital Equipment,9,4.888889,0.444444,0.444444,6,25.0,0.833333,0.5
2024-12-01,Logistics,36,8.666667,1.833333,0.444444,22,37.272727,0.863636,0.636364
2024-08-01,Professional Services,41,7.560976,0.97561,0.487805,24,35.291667,0.75,0.583333
2024-10-01,IT Services,58,6.965517,1.689655,0.448276,30,37.933333,0.833333,0.5
2024-03-01,Marketing,14,7.285714,2.785714,0.285714,11,30.818182,0.727273,0.636364
2025-03-01,Capital Equipment,12,7.916667,2.083333,0.416667,6,50.166667,0.666667,0.166667
2025-06-01,MRO,20,6.6,2.25,0.4,13,30.384615,0.615385,0.538462
2024-09-01,IT Services,52,7.442308,1.442308,0.480769,31,33.258065,0.709677,0.677419
2025-09-01,Professional Services,58,6.982759,1.224138,0.534483,36,46.057143,0.888889,0.371429
2025-10-01,Logistics,39,7.589744,1.128205,0.512821,26,38.0,0.769231,0.545455
2025-01-01,Logistics,30,8.7,0.366667,0.533333,22,35.727273,0.909091,0.727273
2025-03-01,Marketing,24,8.291667,0.916667,0.458333,14,40.357143,0.928571,0.5
2024-11-01,IT Services,48,7.083333,1.770833,0.4375,31,39.096774,0.83871,0.709677
2025-04-01,Professional Services,46,7.608696,2.586957,0.391304,24,37.125,0.875,0.541667
2024-07-01,Raw Materials,30,7.866667,1.1,0.5,20,35.65,0.85,0.55
2024-02-01,Marketing,9,7.222222,1.777778,0.444444,5,35.6,0.6,0.4
2025-10-01,Facilities,15,7.8,2.733333,0.333333,8,34.5,0.75,0.666667
2025-09-01,Office Supplies,10,9.3,1.8,0.3,6,34.0,1.0,0.666667
2025-05-01,Office Supplies,7,8.428571,3.857143,0.285714,4,28.25,1.0,0.5
2024-02-01,Capital Equipment,10,7.6,2.9,0.3,8,39.625,0.75,0.375
2025-06-01,Marketing,23,8.347826,1.913043,0.391304,15,40.8,0.933333,0.466667
2024-07-01,MRO,11,7.090909,2.181818,0.545455,10,47.2,0.9,0.4
2025-12-01,Logistics,31,6.870968,3.709677,0.225806,20,5.0,0.85,1.0
2024-04-01,Raw Materials,41,8.390244,1.243902,0.560976,30,38.333333,0.866667,0.466667
2025-08-01,MRO,15,8.933333,0.6,0.6,12,26.5,0.833333,0.416667
2024-06-01,Facilities,16,6.5625,1.8125,0.4375,8,41.625,0.75,0.5
2024-12-01,Office Supplies,4,10.25,2.25,0.5,3,40.0,1.0,0.0
2024-11-01,MRO,15,6.333333,-1.466667,0.666667,8,42.25,1.0,0.625
2024-04-01,MRO,17,7.823529,1.176471,0.411765,7,49.714286,0.714286,0.571429
2024-04-01,Marketing,7,7.142857,4.571429,0.142857,1,48.0,1.0,0.0
2025-02-01,Office Supplies,6,8.166667,0.166667,0.5,5,31.0,0.8,0.6
2025-10-01,Office Supplies,5,8.6,2.4,0.4,4,27.0,1.0,0.666667
2024-10-01,Office Supplies,4,8.25,1.0,0.25,2,49.5,1.0,1.0
2025-12-01,Professional Services,65,7.8,2.492308,0.338462,38,9.0,0.789474,1.0
2024-07-01,Logistics,26,7.769231,1.153846,0.461538,15,33.8,0.466667,0.466667
2025-08-01,Office Supplies,7,8.428571,1.428571,0.285714,7,35.571429,0.571429,0.428571
2024-02-01,Facilities,8,8.875,3.125,0.25,6,39.166667,0.833333,0.5
2025-02-01,Raw Materials,19,6.736842,0.789474,0.473684,10,37.5,0.9,0.8
2024-09-01,Logistics,25,5.4,1.48,0.36,16,38.125,0.875,0.5625
2025-02-01,IT Services,33,7.484848,1.272727,0.484848,17,35.470588,0.882353,0.705882
2025-09-01,Facilities,12,7.333333,1.583333,0.416667,6,46.5,0.5,0.333333
2025-10-01,Marketing,23,7.26087,0.652174,0.521739,12,41.125,0.75,0.25
2024-09-01,Capital Equipment,16,6.875,0.8125,0.4375,11,38.909091,0.818182,0.454545
2024-04-01,Professional Services,40,8.375,1.625,0.425,22,32.136364,0.772727,0.727273
2025-08-01,Capital Equipment,14,7.642857,0.214286,0.357143,11,32.181818,0.727273,0.545455
2024-02-01,Professional Services,26,7.0,1.038462,0.423077,21,36.333333,0.857143,0.428571
2025-01-01,Facilities,10,7.1,3.1,0.1,5,45.4,0.6,0.8
2025-12-01,MRO,22,8.681818,1.681818,0.409091,15,6.0,0.933333,1.0
2024-06-01,Capital Equipment,9,6.666667,4.0,0.333333,9,37.888889,0.666667,0.333333
2025-04-01,Facilities,13,6.846154,0.923077,0.615385,7,36.857143,0.857143,0.428571
2024-02-01,Office Supplies,2,4.0,3.0,0.5,1,30.0,1.0,1.0
2025-07-01,MRO,15,7.266667,4.2,0.2,11,36.636364,0.727273,0.454545
2025-01-01,Professional Services,48,8.75,1.958333,0.395833,30,40.466667,0.866667,0.533333
2024-03-01,Logistics,18,6.333333,2.166667,0.5,11,30.363636,0.909091,0.545455
2024-02-01,Logistics,11,7.090909,2.272727,0.363636,8,36.75,0.875,0.75
2024-08-01,Office Supplies,4,7.5,2.75,0.25,1,40.0,1.0,1.0
2024-03-01,Travel,2,14.0,-1.5,0.5,1,27.0,1.0,1.0
2025-06-01,Office Supplies,3,5.333333,1.0,0.666667,3,50.333333,1.0,0.333333
2024-02-01,Raw Materials,20,9.25,3.2,0.3,13,33.923077,0.538462,0.615385
2025-08-01,Facilities,8,8.125,1.125,0.5,0,,,
2024-07-01,Office Supplies,1,5.0,-2.0,1.0,0,,,
2024-08-01,Travel,1,8.0,2.0,0.0,0,,,
2024-10-01,Travel,3,6.666667,0.666667,0.666667,0,,,
2024-01-01,Office Supplies,1,13.0,-2.0,1.0,0,,,
2024-05-01,Office Supplies,3,13.333333,3.666667,0.333333,0,,,
2024-07-01,Travel,3,9.0,-2.0,0.666667,0,,,
2025-05-01,Travel,3,10.333333,1.333333,0.333333,0,,,
