requester_dept,category,spend_type,total_pos,maverick_pos,on_contract_pos,total_spend,maverick_spend,on_contract_spend,contract_compliance_rate_pct,maverick_rate_pct,maverick_spend_share_pct
Manufacturing,MRO,Direct,38,8,30,248319.35,34011.16,214308.19,0.789474,0.210526,0.1369654
IT,Capital Equipment,Direct,35,15,20,2265622.04,899888.1,1365733.94,0.571429,0.428571,0.39719251
Finance,Office Supplies,Indirect,9,5,4,39850.14,17786.96,22063.18,0.444444,0.555556,0.44634624
Manufacturing,Office Supplies,Indirect,9,2,7,38301.1,14750.86,23550.24,0.777778,0.222222,0.38512889
R&D,Raw Materials,Direct,89,32,57,1432579.18,685620.24,746958.94,0.640449,0.359551,0.47859151
Operations,MRO,Direct,33,13,20,157584.11,66136.4,91447.71,0.606061,0.393939,0.41968952
Operations,Professional Services,Indirect,97,29,68,2973390.47,725210.2,2248180.27,0.701031,0.298969,0.24390009
HR,Travel,Indirect,17,3,14,111140.34,6104.1,105036.24,0.823529,0.176471,0.05492245
Sales,IT Services,Indirect,97,17,80,3015507.96,506794.21,2508713.75,0.824742,0.175258,0.16806263
Facilities,Professional Services,Indirect,107,31,76,3292285.55,685074.56,2607210.99,0.71028,0.28972,0.20808479
Engineering,Professional Services,Indirect,105,31,74,2736239.89,853555.24,1882684.65,0.704762,0.295238,0.31194459
Marketing,Logistics,Direct,57,22,35,883140.13,201327.44,681812.69,0.614035,0.385965,0.22796772
Manufacturing,Marketing,Indirect,34,5,29,152914.03,17195.43,135718.6,0.852941,0.147059,0.11245162
R&D,MRO,Direct,37,15,22,193848.56,74716.02,119132.54,0.594595,0.405405,0.385435
IT,MRO,Direct,34,7,27,197356.01,49115.39,148240.62,0.794118,0.205882,0.24886696
R&D,IT Services,Indirect,101,43,58,2334234.56,1090413.67,1243820.89,0.574257,0.425743,0.46713972
IT,Facilities,Indirect,20,10,10,162399.86,96304.66,66095.2,0.5,0.5,0.5930095
Facilities,Raw Materials,Direct,102,29,73,1732067.86,499854.65,1232213.21,0.715686,0.284314,0.28858838
Legal,Marketing,Indirect,35,6,29,198642.91,39922.88,158720.03,0.828571,0.171429,0.20097813
Finance,Capital Equipment,Direct,25,9,16,1542288.46,532168.57,1010119.89,0.64,0.36,0.34505126
Operations,Marketing,Indirect,39,12,27,218678.42,78274.89,140403.53,0.692308,0.307692,0.3579452
Engineering,Capital Equipment,Direct,26,11,15,1404531.79,743027.31,661504.48,0.576923,0.423077,0.52902135
Manufacturing,Raw Materials,Direct,89,25,64,1167399.32,305427.23,861972.09,0.719101,0.280899,0.26163047
Facilities,Office Supplies,Indirect,13,6,7,68396.28,27678.74,40717.54,0.538462,0.461538,0.40468195
Engineering,IT Services,Indirect,115,29,86,3294485.49,663414.18,2631071.31,0.747826,0.252174,0.2013711
Finance,Logistics,Direct,63,12,51,1159730.15,223191.78,936538.37,0.809524,0.190476,0.19245148
Marketing,Raw Materials,Direct,79,35,44,1025187.88,473265.25,551922.63,0.556962,0.443038,0.46163758
R&D,Professional Services,Indirect,95,42,53,2557716.89,1289995.39,1267721.5,0.557895,0.442105,0.50435425
Facilities,Facilities,Indirect,30,11,19,331091.87,85398.34,245693.53,0.633333,0.366667,0.25792944
Sales,Marketing,Indirect,33,15,18,138830.5,46271.03,92559.47,0.545455,0.454545,0.33329153
Facilities,Logistics,Direct,48,4,44,1138441.06,89760.02,1048681.04,0.916667,0.083333,0.07884468
Operations,IT Services,Indirect,104,28,76,3260641.75,646200.15,2614441.6,0.730769,0.269231,0.19818189
IT,Marketing,Indirect,33,14,19,226961.98,119640.03,107321.95,0.575758,0.424242,0.52713688
Manufacturing,Facilities,Indirect,32,8,24,199799.45,42672.07,157127.38,0.75,0.25,0.21357451
Facilities,MRO,Direct,31,5,26,166557.35,15877.63,150679.72,0.83871,0.16129,0.09532831
Sales,Capital Equipment,Direct,29,4,25,1536131.95,221443.54,1314688.41,0.862069,0.137931,0.14415659
Legal,MRO,Direct,46,14,32,264600.1,66302.88,198297.22,0.695652,0.304348,0.25057768
Marketing,Facilities,Indirect,29,14,15,252522.97,166960.15,85562.82,0.517241,0.482759,0.66116817
Engineering,Facilities,Indirect,25,6,19,152336.36,33009.51,119326.85,0.76,0.24,0.21668832
Sales,Travel,Indirect,5,0,5,15290.39,0.0,15290.39,1.0,0.0,0.0
Sales,MRO,Direct,40,10,30,222860.28,51880.36,170979.92,0.75,0.25,0.23279321
Marketing,Professional Services,Indirect,110,51,59,2922570.47,1466681.02,1455889.45,0.536364,0.463636,0.50184625
Marketing,IT Services,Indirect,99,46,53,2631413.67,1344511.9,1286901.77,0.535354,0.464646,0.51094661
HR,IT Services,Indirect,105,23,82,2475953.53,573544.0,1902409.53,0.780952,0.219048,0.2316457
R&D,Marketing,Indirect,28,11,17,130909.22,61260.69,69648.53,0.607143,0.392857,0.46796314
Legal,Capital Equipment,Direct,31,6,25,2133586.72,472110.66,1661476.06,0.806452,0.193548,0.22127559
Facilities,Marketing,Indirect,45,12,33,237704.65,33823.48,203881.17,0.733333,0.266667,0.14229204
IT,Office Supplies,Indirect,11,5,6,79752.96,29031.92,50721.04,0.545455,0.454545,0.3640231
Manufacturing,Logistics,Direct,47,11,36,707588.89,95376.62,612212.27,0.765957,0.234043,0.13479101
Legal,Office Supplies,Indirect,9,2,7,42708.68,13991.42,28717.26,0.777778,0.222222,0.32760132
Manufacturing,Capital Equipment,Direct,34,5,29,1611009.43,109320.02,1501689.41,0.852941,0.147059,0.06785809
Operations,Logistics,Direct,52,7,45,563674.89,92540.34,471134.55,0.865385,0.134615,0.16417325
Sales,Raw Materials,Direct,90,32,58,1726679.03,606019.48,1120659.55,0.644444,0.355556,0.35097402
Legal,IT Services,Indirect,99,19,80,2732720.53,478124.02,2254596.51,0.808081,0.191919,0.17496265
R&D,Capital Equipment,Direct,29,12,17,2027392.98,903262.92,1124130.06,0.586207,0.413793,0.44552927
Engineering,Marketing,Indirect,31,8,23,162106.27,32077.42,130028.85,0.741935,0.258065,0.19787896
IT,Professional Services,Indirect,104,21,83,2645613.01,718762.05,1926850.96,0.798077,0.201923,0.27168072
Legal,Raw Materials,Direct,94,28,66,1481134.33,394941.09,1086193.24,0.702128,0.297872,0.26664772
R&D,Facilities,Indirect,22,7,15,239977.83,50320.51,189657.32,0.681818,0.318182,0.20968816
Finance,MRO,Direct,47,14,33,254855.71,89803.94,165051.77,0.702128,0.297872,0.3523717
Finance,Facilities,Indirect,28,5,23,166512.76,22345.5,144167.26,0.821429,0.178571,0.13419692
Sales,Logistics,Direct,51,7,44,912454.81,90471.5,821983.31,0.862745,0.137255,0.09915176
Operations,Capital Equipment,Direct,33,9,24,2891966.87,248787.85,2643179.02,0.727273,0.272727,0.08602721
Operations,Travel,Indirect,9,0,9,36831.4,0.0,36831.4,1.0,0.0,0.0
Legal,Facilities,Indirect,23,3,20,141362.58,26748.13,114614.45,0.869565,0.130435,0.18921648
Facilities,Capital Equipment,Direct,39,6,33,3512967.2,286304.52,3226662.68,0.846154,0.153846,0.08149934
Finance,Marketing,Indirect,39,12,27,219255.2,66259.6,152995.6,0.692308,0.307692,0.30220309
IT,Raw Materials,Direct,74,15,59,1169180.03,278868.93,890311.1,0.797297,0.202703,0.23851667
Finance,Raw Materials,Direct,74,20,54,1047737.73,362502.81,685234.92,0.72973,0.27027,0.34598621
HR,MRO,Direct,41,8,33,208829.38,43918.03,164911.35,0.804878,0.195122,0.2103058
Operations,Raw Materials,Direct,90,23,67,1630781.71,408859.06,1221922.65,0.744444,0.255556,0.25071354
Engineering,Office Supplies,Indirect,17,4,13,97155.49,28364.55,68790.94,0.764706,0.235294,0.29195005
Sales,Facilities,Indirect,27,7,20,148146.97,42308.93,105838.04,0.740741,0.259259,0.28558755
Marketing,Travel,Indirect,12,5,7,93847.11,68817.67,25029.44,0.583333,0.416667,0.73329557
Operations,Office Supplies,Indirect,14,4,10,92793.86,18113.64,74680.22,0.714286,0.285714,0.195203
Marketing,Capital Equipment,Direct,21,6,15,1032925.89,233238.17,799687.72,0.714286,0.285714,0.22580339
Sales,Office Supplies,Indirect,11,2,9,60564.8,27045.84,33518.96,0.818182,0.181818,0.44656038
IT,Logistics,Direct,64,18,46,1198495.0,281754.01,916740.99,0.71875,0.28125,0.23508985
Facilities,Travel,Indirect,11,0,11,55799.37,0.0,55799.37,1.0,0.0,0.0
IT,Travel,Indirect,11,2,9,49922.24,9691.1,40231.14,0.818182,0.181818,0.1941239
