month,year,quarter,category,spend_type,po_count,total_spend,avg_po_amount,unique_vendors,maverick_spend,prior_year_spend,yoy_spend_change,yoy_spend_change_pct
2025-08-01,2025,3,Facilities,Indirect,8,66516.82,8314.6025,8,55955.11,25216.22,41300.6,1.63785849
2025-09-01,2025,3,Facilities,Indirect,12,55770.0,4647.5,11,26795.9,66529.85,-10759.85,-0.16172966
2025-10-01,2025,4,Facilities,Indirect,15,89126.33,5941.75533333,10,24244.99,72643.75,16482.58,0.22689605
2025-11-01,2025,4,Facilities,Indirect,15,82557.89,5503.85933333,10,33481.39,30899.93,51657.96,1.67178243
2025-12-01,2025,4,Facilities,Indirect,21,148211.83,7057.70619048,16,96844.85,82247.6,65964.23,0.80202012
2024-01-01,2024,1,IT Services,Indirect,40,1178070.65,29451.76625,21,172350.74,,,
2024-02-01,2024,1,IT Services,Indirect,29,933988.21,32206.49,19,122608.54,,,
2024-03-01,2024,1,IT Services,Indirect,40,925189.67,23129.74175,21,44025.29,,,
2024-04-01,2024,2,IT Services,Indirect,35,1027678.12,29362.232,19,198634.49,,,
2024-05-01,2024,2,IT Services,Indirect,36,632096.17,17558.22694444,23,175105.96,,,
2024-06-01,2024,2,IT Services,Indirect,43,1086635.65,25270.59651163,29,236223.82,,,
2024-07-01,2024,3,IT Services,Indirect,36,886585.21,24627.36694444,22,229768.94,,,
2024-08-01,2024,3,IT Services,Indirect,38,1578953.21,41551.40026316,24,66881.04,,,
2024-09-01,2024,3,IT Services,Indirect,52,1717091.51,33020.99057692,26,276216.69,,,
2024-10-01,2024,4,IT Services,Indirect,58,1745488.9,30094.6362069,35,395950.16,,,
2024-11-01,2024,4,IT Services,Indirect,48,1079641.97,22492.54104167,24,230889.05,,,
2024-12-01,2024,4,IT Services,Indirect,55,1664978.2,30272.33090909,29,203921.51,,,
2025-01-01,2025,1,IT Services,Indirect,52,1335061.39,25674.2575,33,268112.63,1178070.65,156990.74,0.13326089
2025-02-01,2025,1,IT Services,Indirect,33,823212.27,24945.82636364,20,295331.21,933988.21,-110775.94,-0.11860529
2025-03-01,2025,1,IT Services,Indirect,53,1267619.11,23917.34169811,30,377536.37,925189.67,342429.44,0.3701181
2025-04-01,2025,2,IT Services,Indirect,54,1432675.39,26531.02574074,29,279875.79,1027678.12,404997.27,0.39408961
2025-05-01,2025,2,IT Services,Indirect,44,1298663.55,29515.08068182,29,487707.93,632096.17,666567.38,1.05453476
2025-06-01,2025,2,IT Services,Indirect,55,1847094.66,33583.53927273,32,629440.41,1086635.65,760459.01,0.69982888
2025-07-01,2025,3,IT Services,Indirect,41,1765080.92,43050.75414634,29,218801.88,886585.21,878495.71,0.99087567
2025-08-01,2025,3,IT Services,Indirect,43,1174574.28,27315.68093023,26,227685.35,1578953.21,-404378.93,-0.25610571
2025-09-01,2025,3,IT Services,Indirect,66,1734272.92,26276.86242424,42,852965.46,1717091.51,17181.41,0.01000611
2025-10-01,2025,4,IT Services,Indirect,75,1988084.43,26507.7924,37,692774.58,1745488.9,242595.53,0.13898429
2025-11-01,2025,4,IT Services,Indirect,63,1428597.62,22676.15269841,33,363294.4,1079641.97,348955.65,0.32321423
2025-12-01,2025,4,IT Services,Indirect,70,2364448.62,33777.83742857,38,860782.59,1664978.2,699470.42,0.42010785
2024-01-01,2024,1,Marketing,Indirect,8,43986.05,5498.25625,7,5055.35,,,
2024-02-01,2024,1,Marketing,Indirect,9,45606.72,5067.41333333,8,13114.13,,,
2024-03-01,2024,1,Marketing,Indirect,14,85939.91,6138.565,10,30150.84,,,
2024-04-01,2024,2,Marketing,Indirect,7,34557.34,4936.76285714,6,3501.37,,,
2024-05-01,2024,2,Marketing,Indirect,19,119586.4,6294.02105263,15,33416.55,,,
2024-06-01,2024,2,Marketing,Indirect,15,75073.44,5004.896,14,14132.88,,,
2024-07-01,2024,3,Marketing,Indirect,14,86850.97,6203.64071429,12,31163.08,,,
2024-08-01,2024,3,Marketing,Indirect,8,35374.69,4421.83625,7,1319.31,,,
2024-09-01,2024,3,Marketing,Indirect,16,118087.29,7380.455625,14,33218.34,,,
2024-10-01,2024,4,Marketing,Indirect,22,119178.72,5417.21454545,18,19109.9,,,
2024-11-01,2024,4,Marketing,Indirect,14,78457.49,5604.10642857,11,15113.06,,,
2024-12-01,2024,4,Marketing,Indirect,31,177642.96,5730.41806452,22,8598.2,,,
2025-01-01,2025,1,Marketing,Indirect,16,72309.98,4519.37375,12,17272.75,43986.05,28323.93,0.64392984
2025-02-01,2025,1,Marketing,Indirect,11,66282.04,6025.64,8,2069.58,45606.72,20675.32,0.45333933
2025-03-01,2025,1,Marketing,Indirect,24,121322.07,5055.08625,18,12689.77,85939.91,35382.16,0.41170813
2025-04-01,2025,2,Marketing,Indirect,17,85066.34,5003.90235294,13,21549.39,34557.34,50509.0,1.46159976
2025-05-01,2025,2,Marketing,Indirect,18,100238.25,5568.79166667,12,59142.79,119586.4,-19348.15,-0.16179223
2025-06-01,2025,2,Marketing,Indirect,23,149877.56,6516.41565217,16,82981.33,75073.44,74804.12,0.99641258
2025-07-01,2025,3,Marketing,Indirect,13,38067.5,2928.26923077,11,10567.28,86850.97,-48783.47,-0.56169171
2025-08-01,2025,3,Marketing,Indirect,16,51533.58,3220.84875,10,18259.62,35374.69,16158.89,0.45679241
2025-09-01,2025,3,Marketing,Indirect,14,64622.18,4615.87,12,20199.2,118087.29,-53465.11,-0.45275923
2025-10-01,2025,4,Marketing,Indirect,23,97461.93,4237.47521739,17,66014.23,119178.72,-21716.79,-0.18222037
2025-11-01,2025,4,Marketing,Indirect,21,114445.02,5449.76285714,15,15269.49,78457.49,35987.53,0.45868827
2025-12-01,2025,4,Marketing,Indirect,27,211423.06,7830.4837037,17,108608.49,177642.96,33780.1,0.19015727
2024-01-01,2024,1,Raw Materials,Direct,26,389180.73,14968.48961538,23,101476.13,,,
2024-02-01,2024,1,Raw Materials,Direct,20,279857.23,13992.8615,19,78474.04,,,
2024-03-01,2024,1,Raw Materials,Direct,25,339320.69,13572.8276,21,130629.23,,,
2024-04-01,2024,2,Raw Materials,Direct,41,598068.19,14587.02902439,32,167632.34,,,
2024-05-01,2024,2,Raw Materials,Direct,27,248576.54,9206.53851852,24,33983.86,,,
2024-06-01,2024,2,Raw Materials,Direct,41,640962.47,15633.23097561,30,141041.29,,,
2024-07-01,2024,3,Raw Materials,Direct,30,436523.37,14550.779,25,147524.06,,,
2024-08-01,2024,3,Raw Materials,Direct,37,688156.68,18598.82918919,34,153390.7,,,
2024-09-01,2024,3,Raw Materials,Direct,33,442016.84,13394.44969697,25,103166.75,,,
2024-10-01,2024,4,Raw Materials,Direct,46,590837.22,12844.2873913,38,168320.75,,,
2024-11-01,2024,4,Raw Materials,Direct,43,669866.73,15578.29604651,35,102233.28,,,
2024-12-01,2024,4,Raw Materials,Direct,44,756928.14,17202.91227273,36,304979.68,,,
2025-01-01,2025,1,Raw Materials,Direct,50,838043.1,16760.862,35,208386.63,389180.73,448862.37,1.15335199
2025-02-01,2025,1,Raw Materials,Direct,19,458192.21,24115.37947368,17,310554.37,279857.23,178334.98,0.63723556
2025-03-01,2025,1,Raw Materials,Direct,46,996461.68,21662.21043478,33,131921.67,339320.69,657140.99,1.93663696
2025-04-01,2025,2,Raw Materials,Direct,38,618577.89,16278.36552632,30,143274.9,598068.19,20509.7,0.03429325
2025-05-01,2025,2,Raw Materials,Direct,46,697658.98,15166.49956522,38,210693.47,248576.54,449082.44,1.80661634
2025-06-01,2025,2,Raw Materials,Direct,51,912679.2,17895.67058824,39,255509.07,640962.47,271716.73,0.42391987
2025-07-01,2025,3,Raw Materials,Direct,35,469205.07,13405.85914286,31,118823.85,436523.37,32681.7,0.07486816
2025-08-01,2025,3,Raw Materials,Direct,48,636759.79,13265.82895833,32,265001.62,688156.68,-51396.89,-0.07468777
2025-09-01,2025,3,Raw Materials,Direct,46,715809.64,15561.07913043,40,284377.15,442016.84,273792.8,0.61941712
2025-10-01,2025,4,Raw Materials,Direct,61,969019.93,15885.57262295,45,274453.7,590837.22,378182.71,0.64007936
2025-11-01,2025,4,Raw Materials,Direct,54,728110.91,13483.53537037,41,260416.29,669866.73,58244.18,0.08694891
2025-12-01,2025,4,Raw Materials,Direct,68,1191590.26,17523.38617647,45,708545.43,756928.14,434662.12,0.57424489
2024-01-01,2024,1,MRO,Direct,18,107688.62,5982.70111111,13,46956.86,,,
2024-02-01,2024,1,MRO,Direct,11,45373.12,4124.82909091,9,12346.53,,,
2024-03-01,2024,1,MRO,Direct,24,153722.48,6405.10333333,18,88321.56,,,
2024-04-01,2024,2,MRO,Direct,17,68792.61,4046.62411765,14,26120.33,,,
2024-05-01,2024,2,MRO,Direct,14,71581.29,5112.94928571,11,21268.02,,,
2024-06-01,2024,2,MRO,Direct,13,60394.82,4645.75538462,12,11232.01,,,
2024-07-01,2024,3,MRO,Direct,11,28710.41,2610.03727273,9,2257.56,,,
2024-08-01,2024,3,MRO,Direct,9,35781.25,3975.69444444,8,7071.88,,,
2024-09-01,2024,3,MRO,Direct,26,157002.91,6038.57346154,17,23717.92,,,
2024-10-01,2024,4,MRO,Direct,18,118954.79,6608.59944444,14,67094.69,,,
2024-11-01,2024,4,MRO,Direct,15,85074.29,5671.61933333,10,11741.47,,,
2024-12-01,2024,4,MRO,Direct,24,108308.51,4512.85458333,16,17135.95,,,
2025-01-01,2025,1,MRO,Direct,16,63006.2,3937.8875,13,8179.09,107688.62,-44682.42,-0.41492239
2025-02-01,2025,1,MRO,Direct,9,40252.29,4472.47666667,9,8111.17,45373.12,-5120.83,-0.11286043
2025-03-01,2025,1,MRO,Direct,17,83631.33,4919.49,11,31628.26,153722.48,-70091.15,-0.45595901
2025-04-01,2025,2,MRO,Direct,17,139779.9,8222.34705882,11,864.71,68792.61,70987.29,1.03190285
2025-05-01,2025,2,MRO,Direct,16,75025.77,4689.110625,12,29745.75,71581.29,3444.48,0.04811984
2025-06-01,2025,2,MRO,Direct,20,98069.74,4903.487,15,15390.55,60394.82,37674.92,0.62381045
2025-07-01,2025,3,MRO,Direct,15,87411.73,5827.44866667,11,29375.49,28710.41,58701.32,2.04460055
2025-08-01,2025,3,MRO,Direct,15,78501.87,5233.458,14,50255.89,35781.25,42720.62,1.19393872
2025-09-01,2025,3,MRO,Direct,23,125781.54,5468.7626087,12,33175.41,157002.91,-31221.37,-0.19885854
2025-10-01,2025,4,MRO,Direct,31,222377.34,7173.46258065,18,51526.47,118954.79,103422.55,0.86942737
2025-11-01,2025,4,MRO,Direct,22,163360.81,7425.49136364,14,45699.02,85074.29,78286.52,0.92021362
2025-12-01,2025,4,MRO,Direct,22,132133.17,6006.05318182,14,39932.77,108308.51,23824.66,0.21997034
2024-01-01,2024,1,Travel,Indirect,3,7912.65,2637.55,2,0.0,,,
2024-02-01,2024,1,Travel,Indirect,2,3756.24,1878.12,2,2670.34,,,
2024-03-01,2024,1,Travel,Indirect,2,12706.61,6353.305,2,12706.61,,,
2024-04-01,2024,2,Travel,Indirect,3,5837.12,1945.70666667,2,3070.46,,,
2024-05-01,2024,2,Travel,Indirect,5,15235.43,3047.086,2,1685.72,,,
2024-06-01,2024,2,Travel,Indirect,9,76284.09,8476.01,4,1427.54,,,
2024-07-01,2024,3,Travel,Indirect,3,12951.7,4317.23333333,2,3767.66,,,
2024-08-01,2024,3,Travel,Indirect,1,10441.24,10441.24,1,0.0,,,
2024-09-01,2024,3,Travel,Indirect,5,17973.6,3594.72,3,0.0,,,
2024-10-01,2024,4,Travel,Indirect,3,29230.39,9743.46333333,2,0.0,,,
2024-11-01,2024,4,Travel,Indirect,5,16452.1,3290.42,3,0.0,,,
2024-12-01,2024,4,Travel,Indirect,5,18168.79,3633.758,4,1900.73,,,
2025-01-01,2025,1,Travel,Indirect,4,18553.72,4638.43,4,0.0,7912.65,10641.07,1.34481748
2025-02-01,2025,1,Travel,Indirect,5,14936.26,2987.252,4,584.88,3756.24,11180.02,2.97638596
2025-03-01,2025,1,Travel,Indirect,7,28202.91,4028.98714286,4,4676.26,12706.61,15496.3,1.21954636
2025-04-01,2025,2,Travel,Indirect,5,18030.44,3606.088,2,3691.65,5837.12,12193.32,2.08892742
2025-05-01,2025,2,Travel,Indirect,3,12342.13,4114.04333333,3,0.0,15235.43,-2893.3,-0.18990603
2025-06-01,2025,2,Travel,Indirect,3,27064.12,9021.37333333,3,13388.76,76284.09,-49219.97,-0.64521934
2025-07-01,2025,3,Travel,Indirect,4,41205.97,10301.4925,4,0.0,12951.7,28254.27,2.18151054
2025-08-01,2025,3,Travel,Indirect,6,18472.61,3078.76833333,4,0.0,10441.24,8031.37,0.76919695
2025-09-01,2025,3,Travel,Indirect,6,41797.62,6966.27,4,15561.29,17973.6,23824.02,1.32550073
2025-10-01,2025,4,Travel,Indirect,7,64286.74,9183.82,4,53703.53,29230.39,35056.35,1.19931174
2025-11-01,2025,4,Travel,Indirect,6,25749.44,4291.57333333,3,14632.37,16452.1,9297.34,0.5651157
2025-12-01,2025,4,Travel,Indirect,5,30055.03,6011.006,4,0.0,18168.79,11886.24,0.65421198
2024-01-01,2024,1,Capital Equipment,Direct,8,749281.97,93660.24625,4,35094.65,,,
2024-02-01,2024,1,Capital Equipment,Direct,10,530763.46,53076.346,6,118657.56,,,
2024-03-01,2024,1,Capital Equipment,Direct,7,538594.95,76942.13571429,6,0.0,,,
2024-04-01,2024,2,Capital Equipment,Direct,15,681166.45,45411.09666667,12,248564.22,,,
2024-05-01,2024,2,Capital Equipment,Direct,10,602756.75,60275.675,6,12156.92,,,
2024-06-01,2024,2,Capital Equipment,Direct,9,564907.1,62767.45555556,7,67058.67,,,
2024-07-01,2024,3,Capital Equipment,Direct,13,547252.41,42096.33923077,8,249569.42,,,
2024-08-01,2024,3,Capital Equipment,Direct,15,1398847.84,93256.52266667,8,37136.78,,,
2024-09-01,2024,3,Capital Equipment,Direct,16,784551.07,49034.441875,13,346177.28,,,
2024-10-01,2024,4,Capital Equipment,Direct,16,955064.9,59691.55625,8,179938.0,,,
2024-11-01,2024,4,Capital Equipment,Direct,9,856884.97,95209.44111111,5,0.0,,,
2024-12-01,2024,4,Capital Equipment,Direct,25,1861657.4,74466.296,11,681887.22,,,
2025-01-01,2025,1,Capital Equipment,Direct,16,956468.34,59779.27125,12,314465.38,749281.97,207186.37,0.27651322
2025-02-01,2025,1,Capital Equipment,Direct,6,437380.04,72896.67333333,6,50990.55,530763.46,-93383.42,-0.17594169
2025-03-01,2025,1,Capital Equipment,Direct,12,483015.98,40251.33166667,6,47711.68,538594.95,-55578.97,-0.10319252
2025-04-01,2025,2,Capital Equipment,Direct,16,725910.19,45369.386875,9,152215.19,681166.45,44743.74,0.06568694
2025-05-01,2025,2,Capital Equipment,Direct,10,301917.18,30191.718,4,43868.31,602756.75,-300839.57,-0.4991061
2025-06-01,2025,2,Capital Equipment,Direct,19,1332817.94,70148.31263158,11,369523.62,564907.1,767910.84,1.35935774
2025-07-01,2025,3,Capital Equipment,Direct,14,1206321.47,86165.81928571,8,394180.2,547252.41,659069.06,1.20432372
2025-08-01,2025,3,Capital Equipment,Direct,14,953698.0,68121.28571429,10,504667.61,1398847.84,-445149.84,-0.31822606
2025-09-01,2025,3,Capital Equipment,Direct,20,2064378.5,103218.925,11,216273.22,784551.07,1279827.43,1.63128632
2025-10-01,2025,4,Capital Equipment,Direct,19,996694.57,52457.60894737,13,377438.23,955064.9,41629.67,0.04358832
2025-11-01,2025,4,Capital Equipment,Direct,17,1449296.13,85252.71352941,12,418223.82,856884.97,592411.16,0.69135436
2025-12-01,2025,4,Capital Equipment,Direct,16,1026658.04,64166.1275,11,339120.28,1861657.4,-834999.36,-0.44852472
2024-01-01,2024,1,Logistics,Direct,15,210559.94,14037.32933333,9,1403.26,,,
2024-02-01,2024,1,Logistics,Direct,11,149430.42,13584.58363636,11,52412.97,,,
2024-03-01,2024,1,Logistics,Direct,18,426213.94,23678.55222222,13,99396.24,,,
2024-04-01,2024,2,Logistics,Direct,33,409552.6,12410.68484848,19,58761.71,,,
2024-05-01,2024,2,Logistics,Direct,16,184588.15,11536.759375,14,26151.55,,,
2024-06-01,2024,2,Logistics,Direct,30,473413.29,15780.443,22,31385.35,,,
2024-07-01,2024,3,Logistics,Direct,26,496372.98,19091.26846154,14,60509.87,,,
2024-08-01,2024,3,Logistics,Direct,13,294962.22,22689.40153846,8,41061.64,,,
2024-09-01,2024,3,Logistics,Direct,25,582342.51,23293.7004,12,70921.08,,,
2024-10-01,2024,4,Logistics,Direct,26,410642.77,15793.95269231,19,63356.0,,,
2024-11-01,2024,4,Logistics,Direct,34,575059.02,16913.50058824,16,71889.78,,,
2024-12-01,2024,4,Logistics,Direct,36,517514.69,14375.40805556,19,44493.45,,,
2025-01-01,2025,1,Logistics,Direct,30,483554.87,16118.49566667,22,162443.47,210559.94,272994.93,1.29651884
2025-02-01,2025,1,Logistics,Direct,18,302593.91,16810.77277778,11,40012.63,149430.42,153163.49,1.02498199
2025-03-01,2025,1,Logistics,Direct,30,416021.62,13867.38733333,18,153677.28,426213.94,-10192.32,-0.02391362
2025-04-01,2025,2,Logistics,Direct,27,402453.08,14905.66962963,15,116987.44,409552.6,-7099.52,-0.01733482
2025-05-01,2025,2,Logistics,Direct,24,545200.73,22716.69708333,16,78520.92,184588.15,360612.58,1.95360634
2025-06-01,2025,2,Logistics,Direct,20,328522.39,16426.1195,12,47303.22,473413.29,-144890.9,-0.30605584
2025-07-01,2025,3,Logistics,Direct,15,229673.95,15311.59666667,11,69063.8,496372.98,-266699.03,-0.53729562
2025-08-01,2025,3,Logistics,Direct,27,402946.18,14923.93259259,18,175077.07,294962.22,107983.96,0.36609421
2025-09-01,2025,3,Logistics,Direct,25,453765.68,18150.6272,14,73673.93,582342.51,-128576.83,-0.22079245
2025-10-01,2025,4,Logistics,Direct,39,629857.79,16150.19974359,20,171302.31,410642.77,219215.02,0.53383387
2025-11-01,2025,4,Logistics,Direct,20,227688.16,11384.408,14,41945.07,575059.02,-347370.86,-0.60406123
2025-12-01,2025,4,Logistics,Direct,31,594036.83,19162.4783871,18,286194.74,517514.69,76522.14,0.14786467
2024-01-01,2024,1,Professional Services,Indirect,41,958161.34,23369.78878049,33,310501.44,,,
2024-02-01,2024,1,Professional Services,Indirect,26,975819.95,37531.53653846,24,294346.9,,,
2024-03-01,2024,1,Professional Services,Indirect,37,1740334.25,47036.06081081,27,418924.16,,,
2024-04-01,2024,2,Professional Services,Indirect,40,960971.1,24024.2775,30,215285.6,,,
2024-05-01,2024,2,Professional Services,Indirect,34,1058247.43,31124.92441176,29,166620.95,,,
2024-06-01,2024,2,Professional Services,Indirect,39,1059606.92,27169.40820513,31,512813.23,,,
2024-07-01,2024,3,Professional Services,Indirect,39,896628.52,22990.47487179,30,33722.89,,,
2024-08-01,2024,3,Professional Services,Indirect,41,1476251.6,36006.13658537,31,318252.5,,,
2024-09-01,2024,3,Professional Services,Indirect,39,1108541.8,28424.14871795,30,272872.48,,,
2024-10-01,2024,4,Professional Services,Indirect,49,1248946.56,25488.70530612,33,149888.53,,,
2024-11-01,2024,4,Professional Services,Indirect,51,1495192.49,29317.49980392,38,361125.17,,,
2024-12-01,2024,4,Professional Services,Indirect,51,1662875.88,32605.40941176,36,391364.72,,,
2025-01-01,2025,1,Professional Services,Indirect,48,1729575.85,36032.83020833,37,1018713.99,958161.34,771414.51,0.80509876
2025-02-01,2025,1,Professional Services,Indirect,26,1031260.76,39663.87538462,24,251047.09,975819.95,55440.81,0.05681459
2025-03-01,2025,1,Professional Services,Indirect,53,1234968.38,23301.29018868,38,428631.94,1740334.25,-505365.87,-0.29038437
2025-04-01,2025,2,Professional Services,Indirect,46,1245650.08,27079.34956522,38,310240.5,960971.1,284678.98,0.29624094
2025-05-01,2025,2,Professional Services,Indirect,51,1317020.55,25823.93235294,40,207568.62,1058247.43,258773.12,0.24452988
2025-06-01,2025,2,Professional Services,Indirect,52,1444291.81,27774.8425,43,605116.55,1059606.92,384684.89,0.3630449
2025-07-01,2025,3,Professional Services,Indirect,35,1318531.49,37672.32828571,28,488560.31,896628.52,421902.97,0.47054378
2025-08-01,2025,3,Professional Services,Indirect,43,1290768.94,30017.88232558,36,286387.78,1476251.6,-185482.66,-0.12564434
2025-09-01,2025,3,Professional Services,Indirect,58,1690357.8,29144.1,45,646015.92,1108541.8,581816.0,0.52484805
2025-10-01,2025,4,Professional Services,Indirect,73,1890281.28,25894.26410959,54,807051.28,1248946.56,641334.72,0.51350053
2025-11-01,2025,4,Professional Services,Indirect,66,1765950.78,26756.83,47,576062.11,1495192.49,270758.29,0.18108591
2025-12-01,2025,4,Professional Services,Indirect,65,1528137.07,23509.80107692,48,442463.54,1662875.88,-134738.81,-0.08102758
2024-01-01,2024,1,Office Supplies,Indirect,1,946.42,946.42,1,0.0,,,
2024-02-01,2024,1,Office Supplies,Indirect,2,18501.97,9250.985,2,0.0,,,
2024-03-01,2024,1,Office Supplies,Indirect,8,18714.48,2339.31,6,5950.68,,,
2024-04-01,2024,2,Office Supplies,Indirect,5,17178.58,3435.716,4,0.0,,,
2024-05-01,2024,2,Office Supplies,Indirect,3,15266.94,5088.98,3,4532.52,,,
2024-06-01,2024,2,Office Supplies,Indirect,2,25978.33,12989.165,2,0.0,,,
2024-07-01,2024,3,Office Supplies,Indirect,1,8667.56,8667.56,1,0.0,,,
2024-08-01,2024,3,Office Supplies,Indirect,4,32736.53,8184.1325,3,8272.38,,,
2024-09-01,2024,3,Office Supplies,Indirect,6,39308.2,6551.36666667,3,0.0,,,
2024-10-01,2024,4,Office Supplies,Indirect,4,60782.35,15195.5875,3,0.0,,,
2024-11-01,2024,4,Office Supplies,Indirect,6,37935.61,6322.60166667,5,2920.04,,,
2024-12-01,2024,4,Office Supplies,Indirect,4,52663.0,13165.75,3,0.0,,,
2025-01-01,2025,1,Office Supplies,Indirect,7,32978.56,4711.22285714,7,15073.44,946.42,32032.14,33.84558653
2025-02-01,2025,1,Office Supplies,Indirect,6,54277.76,9046.29333333,4,13775.63,18501.97,35775.79,1.93362058
2025-03-01,2025,1,Office Supplies,Indirect,6,23067.7,3844.61666667,5,7814.36,18714.48,4353.22,0.23261239
2025-04-01,2025,2,Office Supplies,Indirect,10,47980.68,4798.068,7,24057.79,17178.58,30802.1,1.79305274
2025-05-01,2025,2,Office Supplies,Indirect,7,26309.26,3758.46571429,6,9213.7,15266.94,11042.32,0.72328312
2025-06-01,2025,2,Office Supplies,Indirect,3,10183.9,3394.63333333,3,10183.9,25978.33,-15794.43,-0.60798481
2025-07-01,2025,3,Office Supplies,Indirect,4,29883.62,7470.905,3,0.0,8667.56,21216.06,2.44775462
2025-08-01,2025,3,Office Supplies,Indirect,7,28546.63,4078.09,5,7714.73,32736.53,-4189.9,-0.12798852
2025-09-01,2025,3,Office Supplies,Indirect,10,69280.26,6928.026,6,49603.35,39308.2,29972.06,0.76248874
2025-10-01,2025,4,Office Supplies,Indirect,5,26329.65,5265.93,4,24797.24,60782.35,-34452.7,-0.5668208
2025-11-01,2025,4,Office Supplies,Indirect,12,51569.18,4297.43166667,7,45299.07,37935.61,13633.57,0.35938713
2025-12-01,2025,4,Office Supplies,Indirect,10,50282.16,5028.216,6,27713.39,52663.0,-2380.84,-0.04520897
