contract_id,vendor_id,start_date,end_date,negotiated_rate,savings_estimate,payment_terms
C00030,V00496,2022-08-04,2024-08-03,0.196,278052.67,Net 30
C00031,V00496,2024-03-09,2027-03-09,0.169,310685.92,Net 15
C00032,V00496,2024-06-16,2026-06-16,0.136,330281.24,Net 15
C00033,V00031,2023-04-20,2025-04-19,0.116,487455.23,Net 15
C00034,V00317,2023-01-12,2027-01-11,0.103,147946.31,Net 45
C00035,V00317,2022-09-08,2024-09-07,0.06,290167.21,Net 15
C00036,V00409,2023-05-23,2026-05-22,0.051,52937.9,Net 15
C00037,V00491,2023-06-24,2025-06-23,0.091,322713.42,Net 30
C00038,V00492,2023-11-01,2025-10-31,0.112,204759.0,Net 15
C00039,V00492,2022-06-09,2025-06-08,0.068,276621.75,Net 45
C00040,V00281,2023-09-11,2026-09-10,0.124,228429.88,Net 60
C00041,V00357,2023-05-22,2026-05-21,0.095,141595.38,Net 30
C00042,V00357,2022-02-12,2024-02-12,0.2,337059.54,Net 30
C00043,V00077,2022-11-10,2026-11-09,0.133,380663.87,Net 45
C00044,V00077,2023-08-10,2027-08-09,0.062,199681.99,Net 15
C00045,V00462,2022-12-14,2025-12-13,0.165,125464.59,Net 60
C00046,V00462,2023-04-23,2025-04-22,0.129,428430.51,Net 30
C00047,V00462,2023-09-27,2027-09-26,0.164,263240.52,Net 45
C00048,V00498,2023-01-07,2026-01-06,0.085,492340.32,Net 45
C00049,V00212,2022-10-01,2024-09-30,0.059,48400.58,Net 15
C00050,V00212,2022-06-17,2024-06-16,0.249,317340.84,Net 60
C00051,V00212,2023-05-06,2026-05-05,0.232,457945.23,Net 30
C00052,V00102,2022-08-08,2026-08-07,0.129,169802.13,Net 60
C00053,V00335,2022-07-25,2024-07-24,0.207,315298.39,Net 15
C00054,V00335,2024-02-21,2026-02-20,0.133,82617.87,Net 30
C00055,V00476,2022-05-12,2026-05-11,0.206,395015.36,Net 60
C00056,V00476,2023-02-26,2026-02-25,0.103,330845.96,Net 15
C00057,V00476,2022-02-22,2024-02-22,0.084,207457.24,Net 15
C00058,V00337,2023-01-11,2026-01-10,0.188,34152.58,Net 15
C00059,V00441,2023-01-15,2026-01-14,0.054,410519.1,Net 60
C00060,V00441,2023-04-28,2026-04-27,0.106,250893.41,Net 30
C00061,V00441,2022-12-20,2024-12-19,0.077,487367.52,Net 15
C00062,V00174,2022-08-21,2025-08-20,0.104,214218.64,Net 30
C00063,V00174,2022-10-28,2024-10-27,0.138,457582.07,Net 15
C00064,V00003,2022-03-14,2026-03-13,0.223,412298.52,Net 45
C00065,V00003,2023-02-14,2025-02-13,0.112,258329.68,Net 45
C00066,V00334,2022-12-05,2026-12-04,0.226,24184.6,Net 45
C00067,V00334,2023-05-03,2025-05-02,0.217,132250.23,Net 15
C00068,V00410,2024-01-26,2027-01-25,0.191,144248.97,Net 15
C00069,V00071,2022-02-16,2024-02-16,0.186,128549.67,Net 15
C00070,V00071,2022-12-10,2026-12-09,0.139,480654.99,Net 15
C00071,V00210,2023-07-06,2026-07-05,0.119,420450.35,Net 60
C00072,V00210,2022-02-06,2024-02-06,0.107,199417.18,Net 45
C00073,V00064,2022-03-08,2024-03-07,0.221,327216.15,Net 45
C00074,V00064,2024-01-04,2027-01-03,0.18,261507.8,Net 30
C00075,V00064,2023-06-20,2026-06-19,0.232,327212.06,Net 30
C00076,V00385,2023-09-04,2027-09-03,0.211,159675.25,Net 60
C00077,V00094,2022-07-17,2025-07-16,0.22,234909.03,Net 45
C00078,V00094,2022-07-10,2025-07-09,0.11,265112.57,Net 15
C00079,V00486,2024-04-06,2026-04-06,0.152,334554.17,Net 60
C00080,V00486,2022-10-04,2026-10-03,0.179,308434.55,Net 60
C00081,V00186,2024-04-08,2027-04-08,0.063,494296.87,Net 60
C00082,V00186,2022-07-12,2025-07-11,0.102,358435.95,Net 60
C00083,V00034,2022-06-23,2026-06-22,0.203,450846.65,Net 15
C00084,V00078,2023-11-07,2025-11-06,0.194,331146.28,Net 60
C00085,V00078,2023-11-12,2026-11-11,0.231,208253.46,Net 30
C00086,V00001,2023-11-19,2027-11-18,0.213,178151.85,Net 45
C00087,V00001,2024-04-13,2028-04-12,0.178,243110.25,Net 60
C00088,V00012,2023-09-26,2025-09-25,0.218,439482.44,Net 45
C00089,V00012,2023-10-04,2026-10-03,0.07,72692.63,Net 60
C00090,V00416,2022-12-28,2026-12-27,0.203,99703.49,Net 60
C00091,V00416,2022-08-07,2024-08-06,0.094,119430.68,Net 60
C00092,V00023,2022-10-20,2025-10-19,0.124,296929.64,Net 15
C00093,V00023,2022-09-15,2024-09-14,0.144,434532.75,Net 30
C00094,V00073,2023-03-01,2025-02-28,0.15,435073.9,Net 15
C00095,V00073,2023-08-14,2027-08-13,0.11,36490.37,Net 45
C00096,V00183,2022-10-08,2024-10-07,0.119,493723.88,Net 15
C00097,V00132,2022-11-24,2024-11-23,0.206,248914.61,Net 45
C00098,V00411,2024-03-15,2026-03-15,0.051,144028.65,Net 45
C00099,V00194,2023-03-01,2025-02-28,0.148,384148.89,Net 30
C00100,V00194,2024-01-02,2026-01-01,0.173,320408.89,Net 15
C00101,V00056,2023-10-21,2026-10-20,0.127,28485.41,Net 45
C00102,V00056,2023-11-25,2026-11-24,0.24,447083.13,Net 45
C00103,V00149,2022-10-19,2024-10-18,0.175,131923.33,Net 60
C00104,V00019,2022-07-05,2024-07-04,0.127,298448.64,Net 45
C00105,V00205,2022-10-13,2024-10-12,0.11,152505.62,Net 60
C00106,V00079,2022-02-11,2024-02-11,0.119,451678.05,Net 60
C00107,V00079,2024-02-27,2026-02-26,0.083,454378.18,Net 15
C00108,V00495,2023-11-07,2025-11-06,0.195,74290.83,Net 30
C00109,V00263,2022-01-15,2024-01-15,0.075,358443.94,Net 30
C00110,V00263,2023-05-20,2026-05-19,0.225,135336.7,Net 30
C00111,V00324,2023-06-17,2025-06-16,0.182,330248.13,Net 30
C00112,V00324,2023-10-18,2025-10-17,0.188,214220.03,Net 15
C00113,V00484,2022-09-26,2025-09-25,0.145,85032.28,Net 30
C00114,V00080,2022-06-28,2024-06-27,0.182,142288.8,Net 45
C00115,V00040,2022-07-29,2024-07-28,0.152,312672.0,Net 60
C00116,V00040,2023-06-04,2025-06-03,0.207,253892.14,Net 45
C00117,V00452,2022-08-12,2026-08-11,0.245,185381.7,Net 15
C00118,V00452,2023-05-17,2026-05-16,0.082,278587.99,Net 45
C00119,V00047,2024-05-09,2027-05-09,0.116,11341.62,Net 30
C00120,V00047,2022-11-04,2024-11-03,0.217,337820.75,Net 45
C00121,V00239,2023-11-27,2027-11-26,0.065,364552.36,Net 60
C00122,V00239,2023-03-22,2025-03-21,0.141,488872.57,Net 60
C00123,V00239,2023-10-22,2026-10-21,0.06,408457.42,Net 30
C00124,V00392,2023-11-05,2026-11-04,0.21,163226.48,Net 30
C00125,V00392,2023-02-24,2025-02-23,0.22,446243.09,Net 30
C00126,V00392,2023-10-30,2025-10-29,0.183,93551.02,Net 60
C00127,V00353,2022-11-17,2026-11-16,0.104,369203.29,Net 60
C00128,V00353,2022-05-08,2025-05-07,0.087,206380.98,Net 15
C00129,V00353,2023-05-13,2026-05-12,0.217,348052.19,Net 15
C00130,V00342,2022-06-17,2024-06-16,0.073,351123.24,Net 30
C00131,V00342,2024-03-21,2026-03-21,0.071,456501.11,Net 15
C00132,V00278,2024-06-21,2027-06-21,0.086,196077.88,Net 60
C00133,V00278,2024-05-22,2028-05-21,0.056,345387.43,Net 45
C00134,V00278,2023-04-23,2026-04-22,0.234,65339.36,Net 15
C00135,V00291,2024-02-04,2026-02-03,0.102,163976.59,Net 45
C00136,V00291,2022-03-09,2025-03-08,0.154,347238.41,Net 30
C00137,V00318,2024-01-16,2026-01-15,0.146,335218.22,Net 15
C00138,V00318,2022-02-14,2024-02-14,0.218,283588.68,Net 30
C00139,V00305,2022-01-06,2024-01-06,0.151,239951.58,Net 15
C00140,V00269,2022-05-06,2024-05-05,0.2,167110.57,Net 60
C00141,V00269,2023-07-29,2026-07-28,0.06,119126.2,Net 15
C00142,V00269,2022-03-03,2025-03-02,0.213,48626.99,Net 15
C00143,V00070,2022-05-18,2025-05-17,0.068,254243.51,Net 60
C00144,V00070,2022-07-19,2024-07-18,0.246,375167.09,Net 30
C00145,V00070,2023-02-20,2025-02-19,0.131,27557.65,Net 30
C00146,V00456,2022-02-25,2026-02-24,0.243,322393.68,Net 45
C00147,V00456,2023-08-04,2026-08-03,0.24,188037.81,Net 30
C00148,V00456,2024-04-30,2026-04-30,0.219,172666.59,Net 15
C00149,V00466,2024-04-11,2027-04-11,0.193,65871.45,Net 45
C00150,V00466,2023-08-24,2025-08-23,0.118,416643.1,Net 60
C00151,V00155,2022-01-15,2025-01-14,0.19,32431.27,Net 45
C00152,V00155,2023-04-30,2026-04-29,0.078,361259.5,Net 15
C00153,V00083,2023-01-10,2027-01-09,0.089,69165.45,Net 15
C00154,V00478,2022-01-16,2024-01-16,0.193,62805.22,Net 15
C00155,V00173,2023-10-20,2027-10-19,0.075,446959.63,Net 15
C00156,V00322,2023-05-04,2027-05-03,0.077,254426.03,Net 30
C00157,V00322,2022-09-19,2026-09-18,0.237,421019.89,Net 15
C00158,V00091,2023-04-03,2025-04-02,0.188,95088.63,Net 45
C00159,V00091,2023-09-28,2025-09-27,0.127,304267.55,Net 60
C00160,V00091,2023-01-28,2027-01-27,0.226,215145.73,Net 45
C00161,V00181,2024-05-06,2027-05-06,0.244,231894.4,Net 45
C00162,V00415,2022-06-13,2026-06-12,0.19,376729.16,Net 60
C00163,V00313,2024-04-16,2028-04-15,0.222,358818.43,Net 45
C00164,V00313,2023-04-23,2025-04-22,0.092,360048.42,Net 60
C00165,V00313,2022-08-08,2024-08-07,0.246,328542.33,Net 45
C00166,V00279,2023-07-19,2026-07-18,0.192,382779.76,Net 15
C00167,V00279,2022-08-18,2026-08-17,0.164,336907.05,Net 15
C00168,V00382,2022-11-19,2026-11-18,0.107,425177.53,Net 30
C00169,V00382,2023-12-26,2027-12-25,0.071,196626.45,Net 30
C00170,V00473,2022-03-13,2024-03-12,0.103,394910.77,Net 60
C00171,V00473,2024-05-23,2027-05-23,0.079,40396.08,Net 60
C00172,V00363,2023-02-23,2027-02-22,0.056,408872.85,Net 30
C00173,V00325,2022-08-10,2026-08-09,0.223,373782.24,Net 15
C00174,V00325,2023-09-28,2025-09-27,0.152,400448.49,Net 60
C00175,V00432,2022-10-01,2024-09-30,0.235,199901.78,Net 60
C00176,V00432,2024-01-25,2028-01-24,0.061,374398.28,Net 45
C00177,V00348,2022-03-15,2025-03-14,0.216,456628.32,Net 60
C00178,V00348,2024-06-22,2028-06-21,0.159,305659.62,Net 45
C00179,V00087,2023-08-16,2025-08-15,0.247,46489.81,Net 45
C00180,V00076,2022-01-29,2024-01-29,0.125,219968.83,Net 60
C00181,V00076,2023-01-05,2025-01-04,0.082,424546.96,Net 30
C00182,V00439,2022-12-10,2024-12-09,0.058,465027.84,Net 30
C00183,V00016,2023-03-10,2027-03-09,0.219,157565.86,Net 60
C00184,V00016,2023-08-04,2025-08-03,0.207,165750.91,Net 45
C00185,V00250,2023-10-03,2027-10-02,0.064,257518.77,Net 15
C00186,V00250,2022-03-17,2026-03-16,0.157,55053.32,Net 45
C00187,V00250,2024-02-10,2026-02-09,0.183,172222.6,Net 60
C00188,V00434,2023-08-11,2027-08-10,0.156,498349.23,Net 30
C00189,V00020,2022-10-29,2025-10-28,0.139,453203.26,Net 45
C00190,V00323,2024-06-09,2027-06-09,0.126,400141.23,Net 30
C00191,V00323,2024-06-06,2027-06-06,0.101,364748.05,Net 30
C00192,V00323,2024-03-26,2028-03-25,0.214,193729.44,Net 15
C00193,V00333,2024-04-17,2027-04-17,0.23,104331.07,Net 30
C00194,V00333,2022-07-29,2024-07-28,0.083,478575.34,Net 30
C00195,V00057,2024-04-01,2026-04-01,0.184,389055.31,Net 15
C00196,V00057,2023-09-23,2025-09-22,0.091,416086.85,Net 15
C00197,V00302,2023-06-01,2025-05-31,0.199,85339.74,Net 15
C00198,V00302,2022-09-04,2025-09-03,0.058,45891.53,Net 45
C00199,V00230,2024-04-21,2028-04-20,0.064,412593.47,Net 60
C00200,V00230,2023-09-16,2026-09-15,0.128,318806.46,Net 15
C00201,V00332,2022-09-13,2025-09-12,0.185,272068.84,Net 30
C00202,V00133,2023-05-10,2027-05-09,0.059,425643.11,Net 60
C00203,V00133,2023-08-23,2027-08-22,0.071,395577.03,Net 60
C00204,V00138,2022-06-13,2025-06-12,0.203,224461.31,Net 15
C00205,V00138,2024-02-14,2026-02-13,0.145,271399.2,Net 45
C00206,V00424,2022-01-15,2026-01-14,0.109,320682.38,Net 60
C00207,V00424,2022-07-08,2025-07-07,0.241,15463.6,Net 45
C00208,V00336,2022-05-12,2024-05-11,0.165,203100.03,Net 30
C00209,V00026,2024-01-18,2027-01-17,0.092,453757.73,Net 45
C00210,V00465,2024-01-18,2026-01-17,0.173,133843.47,Net 30
C00211,V00282,2024-04-26,2028-04-25,0.22,427179.98,Net 15
C00212,V00248,2022-09-30,2024-09-29,0.108,43007.75,Net 30
C00213,V00248,2023-05-29,2025-05-28,0.195,248723.3,Net 60
C00214,V00238,2023-06-01,2025-05-31,0.07,313562.73,Net 45
C00215,V00118,2024-02-13,2027-02-12,0.116,333116.9,Net 45
C00216,V00043,2023-09-09,2026-09-08,0.212,479742.87,Net 45
C00217,V00043,2023-05-08,2025-05-07,0.113,394973.45,Net 15
C00218,V00221,2022-12-16,2025-12-15,0.077,369156.67,Net 15
C00219,V00177,2023-11-05,2026-11-04,0.205,248615.98,Net 30
C00220,V00177,2023-12-22,2025-12-21,0.179,50167.11,Net 60
C00221,V00321,2023-09-20,2025-09-19,0.228,106251.65,Net 30
C00222,V00321,2022-03-13,2024-03-12,0.228,426297.76,Net 30
C00223,V00321,2023-11-11,2027-11-10,0.166,386908.12,Net 45
C00224,V00154,2022-11-12,2026-11-11,0.102,448053.11,Net 15
C00225,V00154,2022-03-30,2024-03-29,0.123,119420.26,Net 60
C00226,V00154,2022-07-31,2024-07-30,0.143,260101.88,Net 15
C00227,V00232,2022-03-11,2024-03-10,0.183,425511.1,Net 45
C00228,V00228,2023-07-06,2025-07-05,0.139,97781.14,Net 45
C00229,V00228,2023-07-14,2026-07-13,0.238,29805.71,Net 15
C00230,V00418,2023-06-27,2026-06-26,0.124,30976.14,Net 45
C00231,V00204,2024-06-01,2027-06-01,0.128,459771.95,Net 30
C00232,V00204,2022-10-25,2024-10-24,0.246,168794.84,Net 60
C00233,V00127,2023-08-01,2026-07-31,0.166,289378.47,Net 15
C00234,V00127,2023-12-15,2026-12-14,0.123,330134.91,Net 30
C00235,V00127,2023-02-15,2027-02-14,0.1,486610.31,Net 45
C00236,V00330,2022-07-27,2025-07-26,0.213,179065.84,Net 15
C00237,V00330,2023-05-19,2027-05-18,0.051,442196.78,Net 15
C00238,V00032,2022-12-09,2024-12-08,0.153,147596.66,Net 45
C00239,V00114,2022-06-19,2025-06-18,0.17,410307.99,Net 45
C00240,V00471,2023-06-18,2026-06-17,0.194,245943.16,Net 15
C00241,V00471,2022-12-13,2025-12-12,0.092,89010.67,Net 15
C00242,V00272,2023-12-05,2025-12-04,0.076,300250.35,Net 45
C00243,V00141,2022-09-27,2024-09-26,0.228,81963.9,Net 45
C00244,V00141,2022-08-13,2025-08-12,0.234,263153.94,Net 15
C00245,V00058,2022-03-08,2026-03-07,0.178,440469.4,Net 60
C00246,V00058,2022-09-02,2024-09-01,0.093,307197.69,Net 15
C00247,V00193,2022-12-13,2024-12-12,0.094,211275.76,Net 45
C00248,V00193,2023-12-16,2027-12-15,0.214,99123.23,Net 60
C00249,V00193,2022-05-21,2024-05-20,0.195,177908.92,Net 15
C00250,V00025,2022-12-21,2024-12-20,0.096,198876.32,Net 30
C00251,V00025,2022-11-25,2024-11-24,0.09,431199.93,Net 15
C00252,V00018,2022-03-25,2026-03-24,0.069,243175.9,Net 30
C00253,V00018,2024-05-09,2028-05-08,0.151,67583.04,Net 15
C00254,V00018,2023-02-10,2025-02-09,0.23,274250.13,Net 30
C00255,V00266,2023-11-25,2026-11-24,0.154,191484.95,Net 30
C00256,V00266,2022-04-04,2026-04-03,0.136,469826.6,Net 15
C00257,V00266,2022-03-21,2025-03-20,0.12,404264.31,Net 30
C00258,V00067,2023-01-28,2026-01-27,0.145,123931.32,Net 30
C00259,V00067,2023-05-23,2026-05-22,0.17,276428.2,Net 60
C00260,V00209,2023-04-12,2025-04-11,0.166,67736.02,Net 30
C00261,V00480,2022-04-05,2024-04-04,0.188,164791.84,Net 60
C00262,V00095,2022-03-23,2025-03-22,0.18,134280.04,Net 15
C00263,V00254,2023-05-20,2027-05-19,0.105,343496.8,Net 45
C00264,V00254,2023-06-28,2026-06-27,0.16,283205.71,Net 45
C00265,V00267,2023-12-16,2027-12-15,0.147,494369.05,Net 60
C00266,V00024,2024-02-26,2027-02-25,0.197,428949.47,Net 30
C00267,V00024,2022-01-12,2024-01-12,0.139,352662.61,Net 45
C00268,V00223,2023-01-12,2027-01-11,0.13,175834.54,Net 30
C00269,V00262,2023-12-11,2025-12-10,0.211,413395.18,Net 15
C00270,V00427,2023-10-23,2026-10-22,0.068,138915.08,Net 60
C00271,V00427,2023-05-25,2025-05-24,0.172,365002.41,Net 15
C00272,V00427,2024-06-23,2028-06-22,0.181,150369.92,Net 30
C00273,V00006,2022-08-10,2024-08-09,0.178,225096.3,Net 45
C00274,V00006,2023-04-20,2027-04-19,0.107,26468.58,Net 45
C00275,V00006,2023-09-17,2027-09-16,0.084,27669.96,Net 45
C00276,V00117,2022-06-04,2024-06-03,0.067,145209.07,Net 15
C00277,V00117,2022-09-02,2025-09-01,0.184,208670.97,Net 45
C00278,V00046,2022-09-02,2024-09-01,0.234,279300.4,Net 60
C00279,V00046,2022-05-13,2025-05-12,0.243,145488.85,Net 45
C00280,V00017,2022-06-02,2025-06-01,0.165,137942.68,Net 15
C00281,V00017,2022-09-09,2026-09-08,0.071,45469.13,Net 60
C00282,V00463,2022-10-01,2024-09-30,0.211,478787.58,Net 60
C00283,V00358,2023-12-15,2026-12-14,0.163,387283.92,Net 60
C00284,V00358,2022-11-25,2025-11-24,0.186,449296.67,Net 30
C00285,V00004,2024-05-10,2027-05-10,0.064,320494.28,Net 45
C00286,V00004,2023-10-19,2025-10-18,0.21,212088.73,Net 60
C00287,V00219,2023-03-28,2025-03-27,0.19,139041.35,Net 60
C00288,V00219,2023-07-16,2025-07-15,0.13,376906.18,Net 60
C00289,V00406,2023-02-22,2025-02-21,0.145,183233.58,Net 60
C00290,V00061,2022-05-04,2024-05-03,0.15,107836.6,Net 45
C00291,V00111,2022-01-07,2024-01-07,0.096,419120.84,Net 60
C00292,V00111,2022-12-27,2024-12-26,0.206,68740.46,Net 30
C00293,V00111,2024-02-06,2027-02-05,0.173,384479.66,Net 30
C00294,V00319,2022-12-13,2025-12-12,0.174,251246.79,Net 60
C00295,V00319,2024-02-25,2027-02-24,0.087,384488.54,Net 60
C00296,V00319,2023-02-06,2026-02-05,0.094,292565.94,Net 30
C00297,V00429,2023-01-28,2026-01-27,0.146,274976.29,Net 60
C00298,V00429,2024-01-21,2027-01-20,0.222,390192.94,Net 15
C00299,V00030,2023-08-17,2027-08-16,0.142,347713.17,Net 30
C00300,V00030,2023-06-26,2025-06-25,0.126,59366.43,Net 60
C00301,V00030,2022-10-01,2026-09-30,0.222,101704.7,Net 60
C00302,V00438,2023-07-04,2026-07-03,0.242,178117.27,Net 45
C00303,V00472,2023-09-26,2025-09-25,0.134,378575.92,Net 60
C00304,V00472,2023-03-13,2026-03-12,0.106,98145.72,Net 45
C00305,V00027,2022-06-11,2024-06-10,0.213,363199.58,Net 45
C00306,V00027,2022-12-29,2026-12-28,0.136,196632.86,Net 45
C00307,V00027,2022-10-18,2024-10-17,0.145,14773.72,Net 15
C00308,V00008,2023-11-01,2027-10-31,0.157,164706.35,Net 15
C00309,V00008,2023-07-31,2026-07-30,0.1,430665.97,Net 30
C00310,V00454,2024-05-31,2026-05-31,0.062,408770.85,Net 15
C00311,V00109,2023-12-14,2025-12-13,0.14,173981.7,Net 60
C00312,V00109,2022-10-24,2025-10-23,0.162,466603.84,Net 60
C00313,V00109,2022-09-13,2025-09-12,0.054,69406.37,Net 45
C00314,V00038,2023-12-17,2027-12-16,0.085,392351.46,Net 60
C00315,V00038,2022-11-29,2025-11-28,0.185,248871.93,Net 15
C00316,V00158,2024-04-29,2027-04-29,0.173,237238.52,Net 45
C00317,V00158,2022-07-02,2024-07-01,0.178,464997.67,Net 15
C00318,V00158,2024-06-27,2028-06-26,0.164,425961.38,Net 30
C00319,V00490,2022-06-13,2025-06-12,0.096,165270.34,Net 60
C00320,V00119,2023-12-01,2027-11-30,0.179,142911.57,Net 15
C00321,V00119,2022-01-25,2025-01-24,0.2,265258.49,Net 15
C00322,V00115,2023-10-25,2025-10-24,0.221,71269.56,Net 45
C00323,V00115,2024-05-09,2027-05-09,0.238,353341.49,Net 30
C00324,V00176,2022-07-10,2025-07-09,0.071,41258.28,Net 15
C00325,V00374,2023-12-28,2025-12-27,0.204,266751.57,Net 30
C00326,V00374,2024-01-28,2026-01-27,0.102,86084.44,Net 15
C00327,V00182,2022-03-05,2024-03-04,0.198,227148.61,Net 45
C00328,V00145,2024-02-12,2026-02-11,0.056,335139.08,Net 60
C00329,V00370,2023-12-26,2026-12-25,0.245,274886.24,Net 60
C00330,V00370,2023-09-06,2027-09-05,0.139,485075.71,Net 45
C00331,V00370,2022-05-07,2026-05-06,0.17,319213.29,Net 15
C00332,V00391,2022-10-03,2026-10-02,0.112,180112.47,Net 45
C00333,V00391,2022-08-19,2024-08-18,0.138,189233.83,Net 60
C00334,V00196,2022-05-21,2024-05-20,0.05,409536.1,Net 45
C00335,V00405,2023-01-21,2026-01-20,0.157,347007.28,Net 15
C00336,V00276,2022-12-10,2025-12-09,0.11,385275.91,Net 60
C00337,V00276,2023-02-14,2027-02-13,0.096,13536.81,Net 60
C00338,V00276,2023-06-29,2025-06-28,0.132,284671.64,Net 15
C00339,V00455,2023-06-15,2026-06-14,0.216,118090.29,Net 30
C00340,V00142,2023-05-02,2025-05-01,0.153,401979.94,Net 60
C00341,V00142,2024-04-21,2027-04-21,0.18,270652.69,Net 60
C00342,V00366,2024-03-03,2026-03-03,0.086,151901.7,Net 15
C00343,V00366,2023-01-17,2027-01-16,0.141,353231.57,Net 15
C00344,V00068,2022-02-03,2024-02-03,0.08,485160.95,Net 30
C00345,V00211,2024-06-01,2026-06-01,0.106,71269.21,Net 15
C00346,V00169,2023-10-02,2025-10-01,0.068,17215.17,Net 45
C00347,V00169,2024-01-11,2027-01-10,0.134,395005.42,Net 15
C00348,V00494,2023-06-25,2026-06-24,0.189,25551.19,Net 30
C00349,V00494,2024-04-13,2026-04-13,0.061,390069.93,Net 30
C00350,V00494,2022-04-10,2026-04-09,0.144,104174.22,Net 60
C00351,V00376,2022-08-15,2024-08-14,0.074,386391.38,Net 45
C00352,V00376,2023-08-29,2026-08-28,0.204,227050.86,Net 30
C00353,V00376,2022-06-01,2024-05-31,0.142,387788.02,Net 45
C00354,V00401,2023-07-13,2026-07-12,0.237,87719.6,Net 30
C00355,V00401,2023-05-29,2027-05-28,0.154,134123.24,Net 60
C00356,V00273,2023-08-11,2025-08-10,0.223,116716.24,Net 30
C00357,V00110,2023-08-13,2026-08-12,0.115,92006.57,Net 60
C00358,V00249,2024-05-30,2027-05-30,0.208,14375.63,Net 30
C00359,V00249,2022-10-30,2026-10-29,0.207,242882.63,Net 45
C00360,V00146,2023-12-27,2025-12-26,0.1,254960.41,Net 60
C00361,V00093,2022-04-07,2024-04-06,0.062,325841.7,Net 30
C00362,V00093,2022-03-31,2024-03-30,0.148,165202.38,Net 60
C00363,V00093,2022-07-22,2025-07-21,0.197,20462.89,Net 15
C00364,V00153,2023-11-12,2025-11-11,0.1,29349.39,Net 15
C00365,V00368,2023-05-24,2027-05-23,0.189,102990.16,Net 45
C00366,V00368,2023-09-19,2027-09-18,0.12,368877.18,Net 60
C00367,V00468,2022-07-21,2026-07-20,0.233,281714.95,Net 30
C00368,V00468,2022-12-07,2026-12-06,0.081,154879.6,Net 60
C00369,V00468,2023-02-26,2027-02-25,0.123,10352.72,Net 15
C00370,V00084,2023-09-12,2025-09-11,0.174,188396.85,Net 45
C00371,V00084,2023-09-21,2026-09-20,0.194,332561.81,Net 15
C00372,V00246,2022-05-18,2025-05-17,0.203,85524.44,Net 60
C00373,V00166,2024-06-27,2027-06-27,0.072,266368.26,Net 30
C00374,V00164,2023-03-16,2025-03-15,0.086,25324.14,Net 30
C00375,V00200,2022-09-27,2024-09-26,0.056,324458.32,Net 15
C00376,V00200,2024-04-18,2027-04-18,0.155,353643.87,Net 60
C00377,V00229,2022-03-20,2024-03-19,0.171,44728.24,Net 45
C00378,V00075,2024-01-28,2026-01-27,0.144,323069.19,Net 60
C00379,V00075,2023-10-28,2027-10-27,0.199,446311.0,Net 60
C00380,V00479,2022-11-14,2024-11-13,0.215,140249.66,Net 30
C00381,V00479,2022-11-09,2024-11-08,0.217,48188.33,Net 45
C00382,V00359,2023-12-16,2025-12-15,0.07,123198.82,Net 15
C00383,V00359,2023-04-20,2025-04-19,0.089,331869.49,Net 45
C00384,V00359,2022-11-14,2026-11-13,0.2,213440.45,Net 30
C00385,V00251,2022-03-30,2026-03-29,0.122,234773.09,Net 15
C00386,V00251,2023-10-20,2025-10-19,0.083,98394.3,Net 15
