invoice_id,po_id,vendor_id,invoice_amount,invoice_date,payment_status,payment_date,payment_terms,three_way_match_status
INV000039,PO000765,V00368,26692.55,2025-04-07,Paid,2025-04-23,Net 15,Matched
INV000040,PO000471,V00216,6869.96,2024-03-20,Paid,2024-05-03,Net 60,Matched
INV000041,PO004999,V00368,5739.9,2024-09-16,Paid,2024-11-11,Net 60,Missing Receipt
INV000042,PO000404,V00368,142950.41,2025-06-19,Paid,2025-06-30,Net 15,Matched
INV000043,PO002355,V00038,8777.46,2024-03-26,Paid,2024-05-08,Net 45,Price Variance
INV000044,PO003539,V00368,58624.34,2024-12-18,Paid,2025-01-07,Net 15,Matched
INV000045,PO001905,V00066,40457.69,2025-02-16,Paid Late,2025-04-09,Net 45,Matched
INV000046,PO001836,V00062,6925.48,2025-05-26,Paid,2025-06-04,Net 15,Matched
INV000047,PO005499,V00349,4986.2,2024-04-03,Paid,2024-05-01,Net 30,Missing Receipt
INV000048,PO001937,V00127,27414.11,2025-10-08,Paid,2025-10-23,Net 30,Matched
INV000049,PO003823,V00293,42863.6,2024-06-20,Paid,2024-08-01,Net 45,Matched
INV000050,PO002319,V00424,40625.47,2024-05-29,Paid,2024-06-03,Net 15,Matched
INV000051,PO002927,V00295,2748.56,2024-12-29,Paid,2025-01-20,Net 30,Matched
INV000052,PO000587,V00127,1393.67,2025-12-04,Unpaid,,Net 45,Matched
INV000053,PO000021,V00239,4601.07,2025-12-04,Paid,2025-12-25,Net 30,Missing Receipt
INV000054,PO005006,V00415,30059.39,2024-08-04,Paid Late,2024-09-26,Net 45,Matched
INV000055,PO002894,V00180,3967.73,2025-05-21,Paid,2025-07-19,Net 60,Missing Receipt
INV000056,PO003655,V00368,4662.35,2024-04-21,Paid,2024-06-09,Net 45,Matched
INV000057,PO004251,V00389,14114.74,2024-02-09,Paid,2024-02-23,Net 15,Matched
INV000058,PO003015,V00045,9073.52,2025-05-27,Paid,2025-07-03,Net 45,Matched
INV000059,PO004763,V00368,5613.39,2025-06-12,Paid,2025-08-12,Net 60,Matched
INV000060,PO000018,V00210,2521.33,2025-10-29,Paid Late,2025-11-23,Net 15,Price Variance
INV000061,PO002681,V00029,102526.7,2025-02-16,Paid,2025-03-08,Net 30,Matched
INV000062,PO002825,V00256,1259.49,2025-04-22,Paid,2025-05-10,Net 15,Matched
INV000063,PO004365,V00155,2132.34,2024-04-19,Paid,2024-05-05,Net 15,Matched
INV000064,PO001251,V00368,36087.7,2025-01-03,Paid,2025-01-29,Net 30,Missing Receipt
INV000065,PO002861,V00377,125424.6,2025-05-03,Paid,2025-06-28,Net 60,Matched
INV000066,PO003546,V00173,16024.45,2024-07-18,Paid Late,2024-09-17,Net 45,Matched
INV000067,PO004869,V00384,15243.97,2024-10-03,Paid,2024-11-03,Net 30,Matched
INV000068,PO000831,V00259,3854.77,2025-01-12,Paid,2025-02-07,Net 30,Matched
INV000069,PO004482,V00375,12370.63,2025-03-06,Paid,2025-04-13,Net 60,Matched
INV000070,PO003138,V00298,215066.02,2024-06-09,Paid Late,2024-08-15,Net 60,Price Variance
INV000071,PO002503,V00013,12491.42,2025-10-08,Paid,2025-10-16,Net 15,Matched
INV000072,PO001414,V00236,579.53,2025-01-15,Paid Late,2025-03-05,Net 30,Matched
INV000073,PO002875,V00034,20783.07,2025-06-14,Paid,2025-07-02,Net 30,Matched
INV000074,PO002711,V00140,3745.3,2024-10-24,Paid,2024-10-30,Net 15,Price Variance
INV000075,PO001324,V00368,10884.69,2025-08-09,Paid Late,2025-09-14,Net 30,Price Variance
INV000076,PO001141,V00007,12853.61,2025-12-23,Paid,2025-12-31,Net 15,Matched
INV000077,PO000615,V00471,17527.07,2026-01-25,Unpaid,,Net 15,Matched
INV000078,PO001927,V00381,11296.66,2025-04-22,Paid Late,2025-05-15,Net 15,Matched
INV000079,PO005102,V00300,1819.03,2025-11-25,Paid,2025-12-08,Net 30,Matched
INV000080,PO002867,V00392,291683.79,2025-03-19,Paid,2025-04-01,Net 15,Matched
INV000081,PO000545,V00083,722.3,2024-09-22,Paid,2024-11-07,Net 45,Matched
INV000082,PO002246,V00302,1861.0,2025-09-10,Paid,2025-10-19,Net 45,Matched
INV000083,PO001095,V00476,5548.06,2025-08-26,Paid,2025-10-24,Net 60,Matched
INV000084,PO002120,V00369,17936.42,2024-05-06,Paid,2024-05-20,Net 30,Matched
INV000085,PO001683,V00195,3940.66,2025-10-09,Paid Late,2025-11-05,Net 15,Matched
INV000086,PO003067,V00134,14224.72,2025-04-20,Paid,2025-05-08,Net 15,Matched
INV000087,PO001801,V00368,133323.01,2024-08-15,Paid,2024-08-20,Net 15,Matched
INV000088,PO003327,V00333,35590.86,2024-12-28,Paid,2025-02-08,Net 45,Matched
INV000089,PO002950,V00056,25986.68,2025-03-14,Paid Late,2025-05-06,Net 45,Price Variance
INV000090,PO000344,V00281,1417.8,2025-09-05,Paid,2025-09-25,Net 30,Matched
INV000091,PO005060,V00478,52212.47,2025-09-28,Paid,2025-11-10,Net 45,Missing Receipt
INV000092,PO000075,V00195,7643.76,2024-03-27,Paid,2024-04-15,Net 30,Matched
INV000093,PO000614,V00254,5906.17,2024-07-19,Paid,2024-08-04,Net 15,Matched
INV000094,PO000036,V00368,17571.72,2025-10-29,Paid,2025-11-15,Net 15,Matched
INV000095,PO001677,V00468,11392.86,2025-11-15,Unpaid,,Net 30,Matched
INV000096,PO001380,V00184,2138.14,2025-03-28,Paid,2025-05-07,Net 45,Matched
INV000097,PO001875,V00013,15972.58,2024-12-17,Paid,2025-02-17,Net 60,Matched
INV000098,PO000611,V00239,28256.2,2025-01-15,Paid,2025-02-19,Net 30,Matched
INV000099,PO001084,V00198,4128.2,2025-10-21,Paid,2025-12-19,Net 60,Missing Receipt
INV000100,PO004556,V00031,23586.87,2024-07-12,Paid,2024-07-25,Net 15,Matched
INV000101,PO003314,V00196,2894.1,2025-07-12,Paid Late,2025-08-21,Net 30,Missing Receipt
INV000102,PO002127,V00113,4804.67,2024-07-09,Paid,2024-07-25,Net 15,Price Variance
INV000103,PO000479,V00229,40561.67,2025-05-08,Paid,2025-05-28,Net 15,Matched
INV000104,PO003857,V00230,8454.93,2024-09-28,Paid,2024-10-12,Net 15,Matched
INV000105,PO004446,V00109,12991.59,2025-06-26,Paid,2025-08-10,Net 45,Matched
INV000106,PO002888,V00429,35443.99,2026-01-24,Unpaid,,Net 30,Matched
INV000107,PO000836,V00319,5077.06,2024-05-14,Paid,2024-07-01,Net 45,Matched
INV000108,PO002041,V00091,179416.57,2025-09-04,Paid Late,2025-10-10,Net 30,Matched
INV000109,PO001750,V00267,19863.66,2024-12-23,Paid Late,2025-01-17,Net 15,Matched
INV000110,PO003153,V00196,11775.55,2025-10-31,Unpaid,,Net 60,Matched
INV000111,PO002002,V00013,18043.93,2025-07-02,Paid,2025-08-31,Net 60,Matched
INV000112,PO000185,V00127,7516.1,2024-10-02,Paid Late,2024-10-31,Net 15,Missing Receipt
INV000113,PO000688,V00362,13592.5,2024-03-03,Paid,2024-03-26,Net 30,Matched
INV000114,PO004857,V00392,10371.54,2024-09-07,Paid,2024-09-12,Net 15,Price Variance
INV000115,PO003987,V00368,13609.37,2024-02-06,Paid,2024-02-20,Net 15,Matched
INV000116,PO002714,V00246,1812.23,2025-04-14,Paid,2025-05-31,Net 60,Matched
INV000117,PO002652,V00028,13477.32,2024-04-06,Paid,2024-04-27,Net 30,Matched
INV000118,PO002542,V00247,7106.37,2025-07-23,Paid,2025-08-04,Net 15,Matched
INV000119,PO004538,V00287,11309.41,2024-06-22,Paid,2024-07-27,Net 30,Price Variance
INV000120,PO005101,V00411,20710.2,2024-08-23,Paid,2024-08-30,Net 15,Matched
INV000121,PO000847,V00411,10452.98,2024-04-16,Paid,2024-04-30,Net 15,Matched
INV000122,PO005277,V00438,11549.07,2024-06-14,Paid,2024-08-13,Net 60,Matched
INV000123,PO002832,V00070,34413.28,2025-05-01,Paid Late,2025-07-07,Net 60,Missing Receipt
INV000124,PO005118,V00177,18636.58,2024-10-29,Paid Late,2024-12-05,Net 15,Matched
INV000125,PO001446,V00325,3771.18,2024-10-16,Paid,2024-10-21,Net 15,Matched
INV000126,PO001874,V00108,8040.23,2025-10-13,Paid,2025-10-31,Net 15,Matched
INV000127,PO003228,V00369,39991.6,2025-04-24,Paid Late,2025-06-15,Net 45,Matched
INV000128,PO000283,V00073,4184.31,2025-02-19,Paid,2025-04-06,Net 45,Matched
INV000129,PO001850,V00110,1980.47,2024-01-31,Paid,2024-03-19,Net 45,Matched
INV000130,PO000321,V00285,6540.61,2024-12-27,Paid,2025-01-06,Net 15,Matched
INV000131,PO004326,V00368,11721.36,2024-11-16,Paid,2025-01-16,Net 60,Matched
INV000132,PO003618,V00241,7290.44,2024-04-29,Paid,2024-05-11,Net 15,Price Variance
INV000133,PO004901,V00172,35437.27,2025-12-06,Paid,2025-12-14,Net 15,Price Variance
INV000134,PO000049,V00346,26434.53,2025-12-16,Unpaid,,Net 60,Matched
INV000135,PO003769,V00169,178179.05,2025-09-30,Paid,2025-10-31,Net 45,Missing Receipt
INV000136,PO003639,V00403,4095.12,2025-12-23,Unpaid,,Net 60,Matched
INV000137,PO001806,V00426,590.17,2025-10-10,Paid,2025-12-12,Net 60,Matched
INV000138,PO001600,V00434,2194.36,2024-03-08,Paid,2024-03-26,Net 15,Matched
INV000139,PO003959,V00365,10840.04,2024-04-16,Paid,2024-05-28,Net 45,Matched
INV000140,PO004218,V00321,50268.93,2024-07-20,Paid Late,2024-09-13,Net 45,Matched
INV000141,PO003085,V00119,8780.26,2025-07-04,Paid,2025-08-02,Net 45,Matched
INV000142,PO002833,V00403,3106.06,2024-05-16,Paid,2024-07-04,Net 60,Matched
INV000143,PO001044,V00181,2197.27,2024-07-07,Paid,2024-09-02,Net 60,Matched
INV000144,PO005018,V00084,9789.14,2026-01-13,Unpaid,,Net 60,Matched
INV000145,PO001610,V00071,517.83,2025-12-23,Unpaid,,Net 60,Price Variance
INV000146,PO004918,V00076,5210.92,2025-09-02,Paid,2025-10-28,Net 60,Matched
INV000147,PO002076,V00454,7668.94,2025-10-28,Paid,2025-12-13,Net 45,Matched
INV000148,PO000909,V00166,5202.24,2024-06-19,Paid,2024-07-03,Net 15,Matched
INV000149,PO003413,V00322,4853.44,2025-02-18,Paid,2025-04-01,Net 45,Matched
INV000150,PO004646,V00449,6693.14,2025-03-01,Paid Late,2025-03-22,Net 15,Matched
INV000151,PO001497,V00441,3875.09,2025-09-27,Paid Late,2025-11-18,Net 45,Price Variance
INV000152,PO000692,V00149,26177.21,2024-09-14,Paid Late,2024-10-24,Net 30,Matched
INV000153,PO000299,V00180,4909.02,2025-10-06,Paid,2025-11-09,Net 30,Matched
INV000154,PO003674,V00119,19631.61,2025-06-20,Paid Late,2025-08-03,Net 15,Matched
INV000155,PO000103,V00196,3471.35,2025-07-02,Paid,2025-08-07,Net 60,Matched
INV000156,PO003449,V00169,99188.16,2024-12-10,Paid,2025-01-15,Net 60,Price Variance
INV000157,PO005489,V00438,80606.83,2025-08-31,Paid,2025-10-18,Net 60,Missing Receipt
INV000158,PO004804,V00368,69917.7,2024-11-30,Paid,2025-01-09,Net 45,Missing Receipt
INV000159,PO001091,V00278,7621.18,2024-08-08,Paid,2024-10-02,Net 60,Missing Receipt
INV000160,PO001602,V00407,6071.95,2025-10-21,Paid,2025-11-29,Net 45,Matched
INV000161,PO002618,V00001,1373.55,2025-03-14,Paid Late,2025-05-20,Net 60,Missing Receipt
INV000162,PO001163,V00455,8183.59,2025-07-13,Paid,2025-08-24,Net 45,Matched
INV000163,PO004706,V00482,4503.88,2025-09-25,Paid,2025-09-30,Net 15,Price Variance
INV000164,PO001582,V00494,2102.68,2025-03-01,Paid,2025-04-01,Net 45,Matched
INV000165,PO004076,V00326,25091.02,2025-10-12,Paid,2025-12-07,Net 60,Matched
INV000166,PO004325,V00450,12587.92,2024-12-30,Paid Late,2025-01-25,Net 15,Matched
INV000167,PO000419,V00158,3168.76,2024-02-18,Paid,2024-03-03,Net 15,Matched
INV000168,PO002924,V00281,20945.29,2025-09-20,Paid,2025-11-07,Net 45,Matched
INV000169,PO000932,V00353,5128.69,2025-04-28,Paid,2025-06-27,Net 60,Matched
INV000170,PO004647,V00427,2906.22,2024-07-07,Paid Late,2024-08-12,Net 15,Matched
INV000171,PO005143,V00491,53021.37,2024-11-12,Paid,2024-12-22,Net 45,Matched
INV000172,PO002926,V00311,5190.72,2024-09-28,Paid,2024-10-19,Net 30,Price Variance
INV000173,PO000256,V00176,19622.65,2024-02-27,Paid,2024-03-08,Net 15,Missing Receipt
INV000174,PO002983,V00454,23840.54,2024-08-06,Paid,2024-09-12,Net 45,Matched
INV000175,PO004442,V00052,7347.22,2025-02-26,Paid,2025-03-22,Net 30,Matched
INV000176,PO001987,V00289,9286.29,2025-12-30,Unpaid,,Net 15,Matched
INV000177,PO004938,V00325,37738.0,2025-02-11,Paid,2025-04-12,Net 60,Matched
INV000178,PO001237,V00473,10238.1,2025-07-09,Paid,2025-07-25,Net 15,Price Variance
INV000179,PO001553,V00329,8700.65,2024-04-19,Paid,2024-05-11,Net 30,Matched
INV000180,PO000809,V00168,16290.08,2025-04-02,Paid,2025-04-28,Net 30,Matched
INV000181,PO003633,V00319,7021.03,2024-07-27,Paid,2024-08-28,Net 30,Matched
INV000182,PO002023,V00273,10762.05,2025-08-10,Paid,2025-08-26,Net 15,Missing Receipt
INV000183,PO004064,V00105,8166.51,2025-12-02,Paid,2025-12-16,Net 15,Matched
INV000184,PO002992,V00382,17154.15,2024-11-28,Paid,2025-01-15,Net 45,Matched
INV000185,PO005000,V00452,1391.73,2024-12-17,Paid Late,2025-02-23,Net 60,Missing Receipt
INV000186,PO003164,V00298,120243.55,2024-03-12,Paid,2024-05-16,Net 60,Matched
INV000187,PO000456,V00491,12481.13,2025-12-08,Unpaid,,Net 60,Matched
INV000188,PO004104,V00409,34149.63,2025-06-08,Paid,2025-08-02,Net 60,Matched
INV000189,PO001316,V00479,7174.74,2026-01-08,Unpaid,,Net 15,Matched
INV000190,PO002114,V00391,47000.94,2024-07-03,Paid,2024-08-17,Net 45,Matched
INV000191,PO005429,V00493,4464.92,2025-02-28,Paid,2025-04-30,Net 60,Matched
INV000192,PO000722,V00384,11646.65,2024-12-21,Paid Late,2025-02-25,Net 60,Price Variance
INV000193,PO001869,V00235,4220.05,2024-12-04,Paid,2025-01-11,Net 45,Matched
INV000194,PO004387,V00451,65403.54,2025-11-03,Paid,2025-11-27,Net 30,Matched
INV000195,PO001282,V00267,24004.25,2025-11-09,Unpaid,,Net 60,Matched
INV000196,PO004777,V00185,34947.63,2025-12-24,Unpaid,,Net 30,Matched
INV000197,PO000208,V00143,2953.84,2025-08-29,Paid Late,2025-10-19,Net 45,Matched
INV000198,PO005303,V00494,17772.38,2025-07-24,Paid,2025-08-28,Net 30,Price Variance
INV000199,PO005399,V00257,3556.59,2025-07-16,Paid,2025-09-05,Net 60,Matched
INV000200,PO003888,V00496,25040.46,2025-07-16,Paid,2025-07-23,Net 15,Missing Receipt
INV000201,PO003444,V00426,7634.34,2025-05-08,Paid,2025-06-11,Net 45,Matched
INV000202,PO001942,V00368,44967.56,2025-06-25,Paid Late,2025-08-07,Net 30,Matched
INV000203,PO004864,V00391,24906.2,2025-07-26,Paid,2025-08-25,Net 30,Matched
INV000204,PO004666,V00368,20078.7,2025-04-24,Paid,2025-06-26,Net 60,Price Variance
INV000205,PO004492,V00368,4855.9,2025-02-23,Paid,2025-04-08,Net 45,Matched
INV000206,PO003414,V00381,13547.44,2025-03-21,Paid,2025-04-04,Net 15,Matched
INV000207,PO000449,V00228,17830.35,2025-05-24,Paid Late,2025-07-23,Net 45,Matched
INV000208,PO004799,V00042,18594.38,2024-06-28,Paid,2024-08-31,Net 60,Price Variance
INV000209,PO002560,V00113,86021.53,2026-01-09,Unpaid,,Net 15,Missing Receipt
INV000210,PO001338,V00272,15227.28,2024-03-03,Paid,2024-03-20,Net 15,Matched
INV000211,PO005460,V00247,15010.46,2024-12-01,Paid Late,2025-02-08,Net 60,Matched
INV000212,PO003870,V00169,43894.95,2024-08-16,Paid,2024-09-20,Net 45,Matched
INV000213,PO004942,V00368,58099.17,2025-07-24,Paid,2025-09-11,Net 45,Matched
INV000214,PO000658,V00399,41663.03,2024-07-28,Paid,2024-09-05,Net 45,Matched
INV000215,PO002505,V00048,2347.3,2025-04-07,Paid Late,2025-04-29,Net 15,Matched
INV000216,PO005238,V00362,4734.04,2025-01-19,Paid,2025-02-09,Net 30,Matched
INV000217,PO000074,V00394,26132.01,2025-07-12,Paid Late,2025-08-02,Net 15,Matched
INV000218,PO001011,V00368,27587.56,2025-06-29,Paid,2025-07-10,Net 15,Matched
INV000219,PO005291,V00494,5405.65,2025-03-11,Paid,2025-03-24,Net 15,Matched
INV000220,PO000532,V00477,6097.67,2025-02-09,Paid,2025-02-26,Net 30,Matched
INV000221,PO000685,V00096,762.57,2024-11-04,Paid,2025-01-06,Net 60,Matched
INV000222,PO001642,V00083,1761.99,2026-01-11,Unpaid,,Net 60,Matched
INV000223,PO002033,V00025,8646.57,2024-07-20,Paid Late,2024-09-28,Net 60,Matched
INV000224,PO001253,V00203,5346.69,2024-10-23,Paid,2024-11-07,Net 15,Matched
INV000225,PO002406,V00281,5335.24,2025-05-13,Paid,2025-05-18,Net 15,Matched
INV000226,PO002960,V00168,3353.48,2024-03-22,Paid,2024-05-15,Net 60,Matched
INV000227,PO004591,V00154,2096.7,2025-08-24,Paid,2025-08-29,Net 15,Matched
INV000228,PO001538,V00342,1501.22,2025-01-27,Paid,2025-03-07,Net 45,Matched
INV000229,PO000281,V00036,16930.85,2025-06-08,Paid,2025-06-28,Net 30,Price Variance
INV000230,PO005013,V00403,4849.73,2025-06-26,Paid,2025-07-28,Net 45,Matched
INV000231,PO001192,V00169,37399.97,2024-06-13,Paid,2024-06-25,Net 15,Missing Receipt
INV000232,PO005155,V00447,22574.09,2025-03-31,Paid,2025-04-05,Net 15,Price Variance
INV000233,PO003916,V00223,24739.67,2025-01-27,Paid,2025-03-13,Net 45,Price Variance
INV000234,PO000396,V00027,5494.87,2025-07-25,Paid,2025-08-12,Net 15,Matched
INV000235,PO004582,V00328,16619.72,2025-11-18,Paid,2025-12-09,Net 30,Matched
INV000236,PO000213,V00038,4648.86,2025-10-28,Paid,2025-11-29,Net 30,Matched
INV000237,PO002661,V00003,10490.95,2025-09-04,Paid,2025-09-28,Net 30,Matched
INV000238,PO001128,V00298,34685.92,2025-11-08,Paid,2025-12-16,Net 45,Matched
INV000239,PO003241,V00205,7705.46,2025-02-07,Paid,2025-04-13,Net 60,Matched
INV000240,PO002885,V00267,2262.23,2024-12-19,Paid,2025-01-07,Net 15,Matched
INV000241,PO003735,V00285,21815.98,2024-02-09,Paid,2024-03-07,Net 30,Matched
INV000242,PO001212,V00111,4911.64,2026-01-21,Unpaid,,Net 45,Price Variance
INV000243,PO004797,V00171,2748.86,2025-12-17,Unpaid,,Net 60,Missing Receipt
INV000244,PO003107,V00468,40780.07,2024-08-13,Paid Late,2024-10-27,Net 45,Matched
INV000245,PO002277,V00078,14703.94,2024-11-30,Paid,2025-01-03,Net 45,Missing Receipt
INV000246,PO005487,V00432,98315.29,2025-10-21,Paid,2025-11-02,Net 15,Matched
INV000247,PO003275,V00273,7445.82,2025-04-29,Paid,2025-05-16,Net 15,Matched
INV000248,PO001511,V00368,6906.19,2024-06-03,Paid Late,2024-07-30,Net 45,Matched
INV000249,PO000219,V00037,23142.69,2024-07-05,Paid,2024-08-17,Net 45,Matched
INV000250,PO004734,V00378,5419.5,2024-01-27,Paid Late,2024-04-12,Net 60,Matched
INV000251,PO000856,V00115,16656.31,2024-11-23,Paid,2025-01-08,Net 45,Matched
INV000252,PO005215,V00142,7576.35,2024-04-15,Paid,2024-05-21,Net 45,Price Variance
INV000253,PO003636,V00252,25118.92,2025-10-14,Paid,2025-11-03,Net 15,Matched
INV000254,PO002323,V00049,17205.28,2025-02-05,Paid,2025-02-11,Net 15,Price Variance
INV000255,PO002811,V00368,33167.35,2025-11-01,Unpaid,,Net 60,Matched
INV000256,PO004663,V00105,72767.06,2025-01-04,Paid Late,2025-03-14,Net 60,Matched
INV000257,PO003133,V00368,2502.97,2025-12-13,Unpaid,,Net 30,Missing Receipt
INV000258,PO004259,V00412,6596.47,2024-07-12,Paid,2024-08-31,Net 45,Matched
INV000259,PO004533,V00070,18338.84,2025-07-24,Paid,2025-09-19,Net 60,Matched
INV000260,PO002174,V00374,9840.61,2025-03-28,Paid Late,2025-04-20,Net 15,Matched
INV000261,PO003302,V00352,10875.49,2025-06-17,Paid,2025-07-19,Net 30,Matched
INV000262,PO000372,V00368,37335.99,2025-11-06,Paid,2025-12-26,Net 45,Matched
INV000263,PO004284,V00254,9781.83,2025-12-14,Paid,2025-12-19,Net 15,Matched
INV000264,PO003310,V00335,13878.59,2025-11-12,Paid Late,2025-12-03,Net 15,Matched
INV000265,PO005052,V00115,6639.01,2025-11-23,Unpaid,,Net 60,Matched
INV000266,PO000437,V00368,6097.59,2025-10-11,Paid,2025-12-09,Net 60,Price Variance
INV000267,PO003513,V00499,25476.91,2025-08-10,Paid,2025-10-05,Net 60,Matched
INV000268,PO003899,V00313,3274.17,2024-04-17,Paid,2024-05-06,Net 30,Matched
INV000269,PO001743,V00036,26036.77,2024-07-07,Paid,2024-09-06,Net 60,Matched
INV000270,PO000618,V00169,87512.86,2025-10-31,Paid,2025-12-10,Net 45,Matched
INV000271,PO003351,V00466,32114.48,2024-12-15,Paid,2024-12-28,Net 15,Matched
INV000272,PO000523,V00437,366.86,2024-02-24,Paid,2024-04-20,Net 60,Matched
INV000273,PO003512,V00061,2978.88,2025-07-04,Paid Late,2025-08-30,Net 45,Matched
INV000274,PO001777,V00266,15810.54,2024-09-14,Paid Late,2024-10-20,Net 30,Missing Receipt
INV000275,PO001229,V00169,25576.73,2025-10-16,Paid,2025-11-07,Net 30,Missing Receipt
INV000276,PO005272,V00403,13737.0,2024-09-23,Paid,2024-11-10,Net 45,Matched
INV000277,PO002605,V00125,3451.17,2025-03-01,Paid,2025-03-11,Net 15,Matched
INV000278,PO004274,V00113,89409.18,2025-07-21,Paid,2025-09-07,Net 45,Price Variance
INV000279,PO004575,V00098,4062.32,2025-11-18,Unpaid,,Net 60,Matched
INV000280,PO002145,V00051,12205.65,2025-10-06,Paid,2025-11-10,Net 45,Matched
INV000281,PO000912,V00174,4265.28,2025-07-29,Paid Late,2025-10-03,Net 60,Matched
INV000282,PO000112,V00018,14526.36,2024-11-22,Paid Late,2025-01-28,Net 60,Matched
INV000283,PO005302,V00109,3900.4,2024-02-19,Paid,2024-04-16,Net 60,Matched
INV000284,PO003280,V00207,5981.83,2025-07-13,Paid,2025-08-25,Net 45,Matched
INV000285,PO000480,V00216,1391.91,2025-10-24,Paid,2025-12-07,Net 45,Matched
INV000286,PO005061,V00476,5060.62,2024-08-11,Paid,2024-08-19,Net 15,Missing Receipt
INV000287,PO003537,V00343,20329.9,2025-06-04,Paid,2025-06-28,Net 30,Matched
INV000288,PO000802,V00422,25174.99,2025-04-13,Paid,2025-04-27,Net 15,Matched
INV000289,PO004136,V00403,12557.8,2024-07-09,Paid Late,2024-09-06,Net 45,Missing Receipt
INV000290,PO003205,V00246,14134.43,2024-07-17,Paid,2024-08-18,Net 45,Missing Receipt
INV000291,PO001637,V00399,37889.48,2025-10-23,Paid Late,2025-11-29,Net 30,Matched
INV000292,PO001019,V00450,9712.16,2024-08-06,Paid,2024-08-29,Net 30,Matched
INV000293,PO003564,V00227,23440.28,2024-12-12,Paid,2024-12-17,Net 15,Price Variance
INV000294,PO002762,V00284,50147.61,2025-08-16,Paid Late,2025-09-24,Net 30,Missing Receipt
INV000295,PO005001,V00368,13769.43,2025-05-17,Paid,2025-05-28,Net 15,Matched
INV000296,PO000190,V00278,17417.24,2025-04-12,Paid Late,2025-05-05,Net 15,Matched
INV000297,PO005033,V00337,5150.45,2024-07-18,Paid,2024-07-23,Net 15,Matched
